id,location_id,attention,address_1,address_2,city,state_province,postal_code,country
616544,50664374,,643 Tunbridge Road,,Baltimore,MD,21212,United States
616544,50664375,,643 Tunbridge Road,,Baltimore,MD,21212,United States
168299,55287572,, Eastside District Court,1400 East North Avenue,Baltimore,MD,21213,United States
168299,55291286,," Eastside District Court, Early Resolution Court",1400 East North Avenue,Baltimore,MD,21213,United States
167244,55291290,Maryland Dept. Of Juvenile Services Donald Devore  Secretary,1 Center Plaza,120 West Fayette Street,Baltimore,MD,21201,United States
167495,55291296,"Baltimore City Office Of Child Support Francine Pratt, Project Manager",Enforcement,1 North Charles Street 5th Floor,Baltimore,MD,21201,United States
166968,55291323,"Advocates For Children And Youth Matthew Joseph, Executive Director",1 North Charles Street,Suite 2400,Baltimore,MD,21201,United States
166968,55291320,"Maryland Juvenile Justice Coalition Angela Johnese, Policy Director",1 North Charles Street,Suite 2400,Baltimore,MD,21201,United States
167644,55291317,"Public Justice Center John Nethercut, Executive Director",1 North Charles Street,Suite 200,Baltimore,MD,21201,United States
167494,55291301,"Healthchoice Enrollment Hotline James Vivian, Program Director",1 North Charles Street,6th Floor,Baltimore,MD,21201,United States
168443,58285903,,1 North Charles Street,,Baltimore,MD,21201,United States
167048,55291329,"Baltimore City Police Department, S. District Michael Mcdonald, Major",242 West 29th Street,,Baltimore,MD,21211,United States
168011,55291331,"Workers' Compensation Commission R. Karl Aumann, Esq., Chairman",10 East Baltimore Street,,Baltimore,MD,21202,United States
167970,55291334,"Aids Action Baltimore, Inc. Jeffrey Grabelle, Office Manager",10 East Eager Street,,Baltimore,MD,21202,United States
167832,55291337,"Baltimore Va Medical Center Dennis Smith, Director",10 North Greene Street,,Baltimore,MD,21201,United States
167832,55291339,"Women Veterans Health Care Rebecca Gonzalez, Program Manager",10 North Greene Street,,Baltimore,MD,21201,United States
167094,55291341,,10 North Payson Street,,Baltimore,MD,21217,United States
167094,55291345,"Bon Secours Women's Resource Center Verna Gentry, Program Coordinator",10 North Pulaski Street,,Baltimore,MD,21223,United States
168046,55291347,"Equal Employment Opportunity Commission-Eeoc Gerald Kiel, Director",10 South Howard Street,3rd Floor,Baltimore,MD,21201,United States
167809,55291354,"United States Small Business Admin. Balto. Stephen D. Umberger, District Director",10 South Howard Street,Suite 6220,Baltimore,MD,21201,United States
