accreditations,id,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
,166954,,,,,,,,First Mount Calvary Baptist Church,,None or unknown,
,166955,,,,,,,,AFL-CIO Community Services of Central Maryland,,None or unknown,
,166957,,,,,,,,AIDS Interfaith Residential Services ,,None or unknown,
,166957,,,,,,,,AIDS Interfaith Residential Services ,,None or unknown,
,166957,,,,,,,,AIDS Interfaith Residential Services ,,None or unknown,
,166961,,,,,,,,Action in Maturity ,,None or unknown,
,166962,,,,,,,,Baltimore Community Resource Center,,None or unknown,
,166962,,,,,,,,Baltimore Community Resource Center,,None or unknown,
,166968,,,,,,,,Advocates for Children and Youth,,None or unknown,
,166968,,,,,,,,Advocates for Children and Youth,,None or unknown,
,166972,,,,,,,,New All Saints Catholic Church,,None or unknown,
,166983,,,,,,,,"Alliance, Inc.",,None or unknown,
,166983,,,,,,,,"Alliance, Inc.",,None or unknown,
,166985,,,,,,,,Alternative Directions,,None or unknown,
,166989,,,,,,,,American Cancer Society,,None or unknown,
,166990,,,,,,,,American Civil Liberties Union of Maryland,,None or unknown,
,166991,,,,,,,,American Diabetes Association,,None or unknown,
,166991,,,,,,,,American Diabetes Association,,None or unknown,
,166992,,,,,,,,"American Heart Association, Maryland Office",,None or unknown,
,166995,,,,,,,,"American Red Cross, Chesapeake Region",,None or unknown,
,166995,,,,,,,,"American Red Cross, Chesapeake Region",,None or unknown,
,166995,,,,,,,,"American Red Cross, Chesapeake Region",,None or unknown,
,166995,,,,,,,,"American Red Cross, Chesapeake Region",,None or unknown,
,166995,,,,,,,,"American Red Cross, Chesapeake Region",,None or unknown,
,167003,,,,,,,,American Rescue Workers of Maryland,,None or unknown,
,167032,,,,,,,,Associated Black Charities,,None or unknown,
,167034,,,,,,,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",,None or unknown,
,167034,,,,,,,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",,None or unknown,
,167034,,,,,,,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",,None or unknown,
,167036,,,,,,,,"Arc Baltimore, The",,None or unknown,
,167038,,,,,,,,Bar Association of Baltimore City,,None or unknown,
,167039,,,,,,,,Baltimore City Community College,,None or unknown,
,167039,,,,,,,,Baltimore City Community College,,None or unknown,
,167039,,,,,,,,Baltimore City Community College,,None or unknown,
,167039,,,,,,,,Baltimore City Community College,,None or unknown,
,167040,,,,,,,,Baltimore City Office of Civil Rights,,None or unknown,
,167042,,,,,,,,Baltimore Housing Authority,,None or unknown,
,167042,,,,,,,,Baltimore Housing Authority,,None or unknown,
,167042,,,,,,,,Baltimore Housing Authority,,None or unknown,
,167042,,,,,,,,Baltimore Housing Authority,,None or unknown,
,167042,,,,,,,,Baltimore Housing Authority,,None or unknown,
,167042,,,,,,,,Baltimore Housing Authority,,None or unknown,
,167043,,,,,,,,Baltimore City Department of Legislative Reference,,None or unknown,
,167044,,,,,,,,Baltimore City Department of Recreation and Parks,,None or unknown,
,167044,,,,,,,,Baltimore City Department of Recreation and Parks,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167045,,,,,,,,Baltimore City Department of Social Services,,None or unknown,
,167047,,,,,,,,Baltimore City Medical Society,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167048,,,,,,,,Baltimore City Police Department,,None or unknown,
,167049,,,,,,,,Baltimore City Public School System,,None or unknown,
,167049,,,,,,,,Baltimore City Public School System,,None or unknown,
,167049,,,,,,,,Baltimore City Public School System,,None or unknown,
,167049,,,,,,,,Baltimore City Public School System,,None or unknown,
,167049,,,,,,,,Baltimore City Public School System,,None or unknown,
,167049,,,,,,,,Baltimore City Public School System,,None or unknown,
