id,organization_id,name,alternate_name
616544,,All Together Network,
616544,,All Together Network,
168299,,District Court of Maryland,
168299,,District Court of Maryland,
167244,,Maryland Department of Juvenile Services,
167495,,Maryland Department of Human Services,
166968,,Advocates for Children and Youth,
166968,,Advocates for Children and Youth,
167644,,Public Justice Center,
167494,,Maryland Department of Health,
168443,,Baltimore City Health Department,
167048,,Baltimore City Police Department,
168011,,Worker's Compensation Commission,
167970,,AIDS Action Baltimore,
167832,,US Department of Veterans Affairs,
167832,,US Department of Veterans Affairs,
167094,,Bon Secours Baltimore Health System,
167094,,Bon Secours Baltimore Health System,
168046,,Equal Employment Opportunity Commission ,
167809,,"U.S. Small Business Administration, Baltimore",
167693,,Counselors to America's Small Business,
168612,,U.S. Department of Housing and Urban Development,
167226,,Corporation For National and Community Service,
169142,,Baltimore City Sheriff's Office,
201133,,Maryland Family Network,
167043,,Baltimore City Department of Legislative Reference,
167922,,Baltimore City Mayor's Office of Constituent Services,
401849,,First Baptist Church of Dundalk,
168443,,Baltimore City Health Department,
168521,,Federal Public Defender's Office,
168396,,Julie Community Center,
167210,,Baltimore City Commission on Aging & Retirement Education,
168523,,Johns Hopkins Community Physicians,
168722,,Johns Hopkins University School of Medicine,
168538,,Pet Loss Helpline,
0,,1000 Friends of Maryland,
168443,,Baltimore City Health Department,
168443,,Baltimore City Health Department,
168443,,Baltimore City Health Department,
168443,,Baltimore City Health Department,
201133,,Maryland Family Network,
201133,,Maryland Family Network,
168575,,Churches United Against AIDS,
167827,,University of Maryland Medical System,
167827,,University of Maryland Medical System,
260285,,American Legion National Headquarters,
167308,,Franciscan Sisters of Baltimore,
167524,,Mayor's Office of Employment Development ,
167524,,Mayor's Office of Employment Development ,
167521,,Maryland Volunteer Lawyers Service,
167034,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",
167034,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",
167513,,Maryland State Department of Education,
168577,,"Key Point Health Services, Administrative Office",
167390,,Helping Up Mission,
168248,,"U.S. Department of Labor, Wage and Hour Division",
167048,,Baltimore City Police Department,
168626,,Native American Lifelines,
168313,,Maryland Humanities ,
44865489,,Blossoms House of Restoration ,
182559,,University of Baltimore,
1294078,,Boys and Girls Clubs of America,
1739551,,Brooklyn Community United Methodist Church ,
167227,,Corpus Christi,
167922,,Baltimore City Mayor's Office of Constituent Services,
26878053,,Northside Baptist Church ,
167513,,Maryland State Department of Education,
167496,,"Maryland Department of Labor, Licensing & Regulation",
167496,,"Maryland Department of Labor, Licensing & Regulation",
201133,,Maryland Family Network,
168212,,Maryland Psychiatric Society,
167360,,Hampden Family Center,
168875,,Baltimore City Bar Association,
169144,,Baltimore City Circuit Court,
169144,,Baltimore City Circuit Court,
168474,,Greater Baltimore Committee,
167148,,Catholic Charities of the Archdiocese of Baltimore,
169014,,Baltimore County Office of Workforce Development,
167383,,Chase Brexton Health Services,
167032,,Associated Black Charities,
167675,,"Salvation Army Central Maryland, The",
167766,,St. Vincent de Paul of Baltimore,
167148,,Catholic Charities of the Archdiocese of Baltimore,
167923,,Paul's Place,
168862,,Dayspring Programs,
168862,,Dayspring Programs,
358097,,Baltimore American Indian Center,
166954,,First Mount Calvary Baptist Church,
168054,,Volunteers of America Chesapeake,
167880,,"Women's Housing Coalition, The",
167050,,Baltimore City State's Attorney's Office,
167050,,Baltimore City State's Attorney's Office,
167766,,St. Vincent de Paul of Baltimore,
167827,,University of Maryland Medical System,
167827,,University of Maryland Medical System,
167827,,University of Maryland Medical System,
167827,,University of Maryland Medical System,
167244,,Maryland Department of Juvenile Services,
167574,,Neighborhood Design Center,
23505117,,Union Baptist Church ,
168639,,Maryland Emergency Management Agency,
167723,,Southwest Emergency Services,
11920917,,St. Clement's Church,
168632,,1000 Friends of Maryland,
167941,,"MedChi, The Maryland State Medical Society",
167047,,Baltimore City Medical Society,
167941,,"MedChi, The Maryland State Medical Society",
168048,,Baltimore City Head Start Program,
24418029,,Mattie B. Uzzle Outreach Center,
167524,,Mayor's Office of Employment Development ,
168402,,Historic East Baltimore Community Action Coalition,
8892260,,"Ulman Cancer Fund, The",
1830800,,UMAR Boxing ,
167045,,Baltimore City Department of Social Services,
167045,,Baltimore City Department of Social Services,
167045,,Baltimore City Department of Social Services,
167045,,Baltimore City Department of Social Services,
9061262,,Baltimore Community Tool Bank,
167042,,Baltimore Housing Authority,
167042,,Baltimore Housing Authority,
167827,,University of Maryland Medical System,
167069,,"Baltimore Rescue Mission, The",
219399,,Jai Medical Center,
167762,,St. Peter's Adult Learning Center,
168455,,Presbytery of Baltimore,
168486,,Habitat for Humanity International,
168486,,Habitat for Humanity International,
167524,,Mayor's Office of Employment Development ,
168600,,Booker T. Washington Middle School,
167883,,Woodbourne Center,
167883,,Woodbourne Center,
167511,,Maryland Society for Sight,
167438,,Jubilee Baltimore,
167690,,Second Shiloh Meal Kitchen & Emergency Food Pantry,
168394,,Powell Recovery Center,
167718,,"Baltimore Station, The",
167514,,Maryland Department of Transportation,
168362,,Oliver Community Economic Development Corporation,
168401,,United Ministries,
167825,,University of Baltimore School of Law,
167641,,Providence Baptist Church,
169021,,Developmental Disabilities Administration ,
167531,,Samaritan Community,
168435,,Providence Adult Day Care,
167079,,Bethel African Methodist Episcopal Church,
168095,,Active Day,
167715,,South Baltimore Community Assistance Program,
168079,,Asthma and Allergy Foundation of America ,
167394,,Homestead UMC Service Center,
167394,,Homestead UMC Service Center,
167485,,Maryland Nonprofits,
203786,,Bell Foundation,
167485,,Maryland Nonprofits,
167497,,Disability Rights Maryland,
168656,,Community Conferencing Center,
188179,,Higher Achievement Program,
167485,,Maryland Nonprofits,
2698485,,Urban Alliance ,
167784,,Total Health Care,
167736,,St. Francis Xavier Church,
167102,,New Metropolitan Church,
167102,,New Metropolitan Church,
167102,,New Metropolitan Church,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168191,,Agape House,
168523,,Johns Hopkins Community Physicians,
28766236,,Safe Alternative Foundation for Education (SAFE),
167784,,Total Health Care,
167784,,Total Health Care,
168751,,"People Encouraging People, Corporate Office",
167524,,Mayor's Office of Employment Development ,
167784,,Total Health Care,
168443,,Baltimore City Health Department,
167346,,Govans Ecumenical Development Corporation (GEDCO),
167045,,Baltimore City Department of Social Services,
167045,,Baltimore City Department of Social Services,
168355,,New Song Urban Ministries,
167737,,St. Gregory the Great Church,
167766,,St. Vincent de Paul of Baltimore,
167091,,Black Mental Health Alliance for Education/Consultation,
167791,,Trinity Baptist Church,
167900,,"Y of Central Maryland, Association Office",
167900,,"Y of Central Maryland, Association Office",
167048,,Baltimore City Police Department,
166957,,AIDS Interfaith Residential Services ,
31463215,,"Clay Pots, A Place to Grow",
167148,,Catholic Charities of the Archdiocese of Baltimore,
167766,,St. Vincent de Paul of Baltimore,
168877,,Hostelling International - USA Potomac Area Council,
169001,,Morgan State University,
169051,,NorthEast Development Alliance,
168387,,Baltimore Mediation Facilitation & Training,
167904,,Zion Baptist Church,
12477699,,Second Chance,
167605,,Payne Memorial Church,
167605,,Payne Memorial Church,
169149,,University of Maryland School of Social Work,
167245,,"Humanim, Inc.",
167245,,"Humanim, Inc.",
167271,,Echo House Multi-Service Center,
167474,,Lutheran Mission Society of Maryland,
167827,,University of Maryland Medical System,
169096,,Spectrum Support,
168715,,Taylor Made Assisted Living Center,
167435,,Johns Hopkins Hospital,
54843697,,Baltimore City Mayor's Office of Human Services ,
374366,,Light of Truth Center,
167480,,March of Dimes Maryland-Maryland Market,
168259,,Business Volunteer Unlimited Maryland,
168881,,The Family Center at Kennedy Krieger,
167442,,Kennedy Krieger Institute,
167494,,Maryland Department of Health,
168080,,Crohn's & Colitis Foundation of America,
56755788,,Project KIND,
167697,,"TurnAround, Inc.",
166957,,AIDS Interfaith Residential Services ,
166957,,AIDS Interfaith Residential Services ,
167435,,Johns Hopkins Hospital,
167608,,People's Church of Baltimore,
167813,,United Way of Central Maryland,
167813,,United Way of Central Maryland,
167813,,United Way of Central Maryland,
358732,,Maryland Department of Environment,
358719,,Maryland Energy Administration,
167327,,"Fuel Fund of Maryland, Administrative Office",
167639,,Project PLASE,
168382,,Raven's Medical Adult Day Care Center,
169023,,Center for Community Integration,
167470,,Ark Church,
167048,,Baltimore City Police Department,
168524,,Outward Bound USA,
204262,,"Reclaiming Our Children and Community Project, Inc.",
12830652,,Scarlet Covering ,
56406496,,Better Tomorrow Starts Today,
167044,,Baltimore City Department of Recreation and Parks,
167902,,YWCA of the Greater Baltimore Area,
168676,,Newborn Holistic Ministries,
167262,,Dundalk Youth Service Center,
167471,,Loading Dock,
168671,,Downtown Partnership of Baltimore,
38339526,,Baltimore Regional Housing Partnership,
168399,,Youth As Resources,
168752,,Ebenezer AME Church,
368000,,New Vision House of Hope,
167049,,Baltimore City Public School System,
167049,,Baltimore City Public School System,
167049,,Baltimore City Public School System,
167049,,Baltimore City Public School System,
167566,,"National Federation of the Blind, Headquarters",
37337784,,Baltimore City Department of Public Works,
168443,,Baltimore City Health Department,
167585,,Maryland Office of the Attorney General,
168140,,Maryland Insurance Administration,
167513,,Maryland State Department of Education,
39378823,,Mount Zion Food Pantry,
167045,,Baltimore City Department of Social Services,
167882,,"Office of the Maryland Women, Infants and Children Program",
167495,,Maryland Department of Human Services,
167094,,Bon Secours Baltimore Health System,
167382,,Health Care for the Homeless,
167094,,Bon Secours Baltimore Health System,
167094,,Bon Secours Baltimore Health System,
259792,,Christian Memorial Church,
166991,,American Diabetes Association,
166991,,American Diabetes Association,
167187,,Christ UMC,
201133,,Maryland Family Network,
167922,,Baltimore City Mayor's Office of Constituent Services,
167494,,Maryland Department of Health,
167953,,Baltimore City Department of Communication Services,
168126,,MedStar Health,
167042,,Baltimore Housing Authority,
168653,,Recovery Network ,
167521,,Maryland Volunteer Lawyers Service,
167392,,Homeless Persons Representation Project,
182028,,Job Opportunities Task Force (JOTF),
34283650,,Tahirih Justice Center,
167643,,Maryland Office of the Public Defender,
167494,,Maryland Department of Health,
167494,,Maryland Department of Health,
167494,,Maryland Department of Health,
167494,,Maryland Department of Health,
167494,,Maryland Department of Health,
167494,,Maryland Department of Health,
167882,,"Office of the Maryland Women, Infants and Children Program",
167832,,US Department of Veterans Affairs,
167392,,Homeless Persons Representation Project,
167832,,US Department of Veterans Affairs,
166962,,Baltimore Community Resource Center,
166962,,Baltimore Community Resource Center,
56406555,,"Inspirations, LLC",
168443,,Baltimore City Health Department,
167813,,United Way of Central Maryland,
167663,,St. Wenceslaus Catholic Church,
168598,,DRU Mondawmin Healthy Families,
1741086,,Parks and People Foundation,
167578,,New Shiloh Baptist Church,
616558,,Institutes for Behavioral Resources,
167599,,"Family Tree, The",
168443,,Baltimore City Health Department,
167281,,Maryland Episcopal Collaborative,
616562,,Man Alive,
169080,,Druid Heights Community Development Corporation,
169061,,Structured Employment Economic Development Corporation,
169061,,Structured Employment Economic Development Corporation,
166992,,"American Heart Association, Maryland Office",
182028,,Job Opportunities Task Force (JOTF),
167068,,Narcotics Anonymous Service Center,
182683,,Maryland Crime Victims Resource Center,
168350,,"US Department of Labor, Employment & Training Administration",
168616,,"Shelter Group, The",
167461,,"Lexaco, Inc.",
167249,,"Door, Inc. The",
168585,,America Works of Maryland,
167827,,University of Maryland Medical System,
167828,,University of Maryland School of Pharmacy,
168581,,Women Accepting Responsibility ,
167498,,Maryland Food Bank,
167827,,University of Maryland Medical System,
168516,,Brain Injury Association of Maryland,
168508,,Light Health & Wellness Comprehensive Service,
167400,,"House of Ruth, Maryland",
167400,,"House of Ruth, Maryland",
167400,,"House of Ruth, Maryland",
167400,,"House of Ruth, Maryland",
167400,,"House of Ruth, Maryland",
358851,,Mt. Moriah Church,
168649,,Center for Urban Families,
168649,,Center for Urban Families,
167524,,Mayor's Office of Employment Development ,
167048,,Baltimore City Police Department,
168223,,First Emmanuel Baptist Church,
167792,,True Way Church of Christ,
167345,,Goodwill Industries of the Chesapeake,
168583,,"Men and Families Center, The",
168270,,Casa de Maryland,
168557,,Mosaic Community Services,
168557,,Mosaic Community Services,
167049,,Baltimore City Public School System,
167739,,St. John Lutheran Church,
167148,,Catholic Charities of the Archdiocese of Baltimore,
169074,,Optimum Health Systems,
167882,,"Office of the Maryland Women, Infants and Children Program",
169036,,Garwyn Oaks Housing Resource Center,
168580,,Baltimore Child Abuse Center,
167513,,Maryland State Department of Education,
167519,,Maryland Technology Assistance Program,
167839,,V-LINC,
167524,,Mayor's Office of Employment Development ,
169071,,Helping Other People Through Empowerment ,
