id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
616544,50664374,,,,ASSISTED LIVING: Provides short and long-term care with 24-hour personal supervision by a registered nurse in a community setting.,,info@allstaffinginc.com,,,Call to schedule an assessment.,,,,All Together Network,,,,,www.allstaffinginc.com,
616544,50664375,,,,ASSISTED LIVING: Provides short and long-term care with 24-hour personal supervision by a registered nurse in a community setting.,,info@allstaffinginc.com,,,Call to schedule an assessment.,,,,All Together Network,,,,,www.allstaffinginc.com,
168299,55287572,,,,,,,,,,,,,District Court of Maryland,,,,,,
168299,55291286,,,,,,,,,,,,,District Court of Maryland,,,,,,
167244,55291290,,,,,,,,,,,,,Maryland Department of Juvenile Services,,,,,,
167495,55291296,,,,,,,,,,,,,Maryland Department of Human Services,,,,,,
166968,55291323,,,,,,,,,,,,,Advocates for Children and Youth,,,,,,
166968,55291320,,,,,,,,,,,,,Advocates for Children and Youth,,,,,,
167644,55291317,,,,,,,,,,,,,Public Justice Center,,,,,,
167494,55291301,,,,,,,,,,,,,Maryland Department of Health,,,,,,
168443,58285903,,,HCAM,,,,,,,,,,Baltimore City Health Department,,,,,,
167048,55291329,,,,,,,,,,,,,Baltimore City Police Department,,,,,,
168011,55291331,,,,,,,,,,,,,Worker's Compensation Commission,,,,,,
167970,55291334,,,,,,,,,,,,,AIDS Action Baltimore,,,,,,
167832,55291337,,,,,,,,,,,,,US Department of Veterans Affairs,,,,,,
167832,55291339,,,,,,,,,,,,,US Department of Veterans Affairs,,,,,,
167094,55291341,,,,,,,,,,,,,Bon Secours Baltimore Health System,,,,,,
167094,55291345,,,,,,,,,,,,,Bon Secours Baltimore Health System,,,,,,
168046,55291347,,,,,,,,,,,,,Equal Employment Opportunity Commission ,,,,,,
167809,55291354,,,,,,,,,,,,,"U.S. Small Business Administration, Baltimore",,,,,,
167693,55291352,,,,,,,,,,,,,Counselors to America's Small Business,,,,,,
