current_parent_categories,name,id,location_name,new_category,new_subcategory,clear_categories
"Emergency, Education, Education",Family Education,144880,Center for Urban Families,Employment,Job Training,
Health,Virtual Grief Counseling,145295,Virtual Bereavement Group,Mental Health,Counseling Services ,
Health,DBSA Support Groups (Grupos de Apoyo),145017,Depression and Bipolar Support Alliance (Se habla espaÃ±ol),Mental Health,Support Groups,
Health,Mental Health/Co-Occurring Services,144128,"Gaudenzia, Inc.",Mental Health,,
Health,Mental Healthcare,144866,COVID-19 -- Thrive,Mental Health,,
Health,Online Mental Health Screenings (ExÃ¡menes de Salud Mental En LÃ­nea),145090,Mental Health America (Se habla espaÃ±ol),Mental Health,,
Health,Therapy Directory,145093,Therapy for Black Girls,Mental Health,,
Health,Residential Treatment,145278,Howard House for Men,Mental Health,,
Health,Crisis Stabalization,145273,Tuerk House Main Campus,Mental Health,,
Health,Partial Hospitalization,145275,Tuerk House Main Campus,Mental Health,,
Health,Residential Treatment,145279,Nilsson House for Women,Mental Health,,
Health,OUTPATIENT MENTAL HEALTH CLINIC,144053,"All Walks of Life, LLC",Mental Health,,
"Age Group, Survivors","Kennedy Krieger Family Center, SMART Program",143514,"Kennedy Krieger Family Center, Birth To Five Clinic",Mental Health,,
Care,"Baltimore City Police Department, Eastern District",141214,"Baltimore City Police Department, Eastern District",Mental Health,,
Care,Baltimore County Dept. of Recreation and Parks,139937,Baltimore County Dept. of Recreation and Parks,Mental Health,,
Care,"Office of Child Care, Anne Arundel County",141787,"Office of Child Care, Anne Arundel County",Mental Health,,
Care,"Office of Child Care, Baltimore City",141788,"Baltimore Housing, OHEP/Weatherization",Mental Health,,
Care,Family/Marital Counseling,144142,Glenwood Life Counseling Center,Mental Health,,
Care,Peer Recovery Services,144146,Glenwood Life Counseling Center,Mental Health,,
Care,Group Treatment,144143,Glenwood Life Counseling Center,Mental Health,,
Care,Individual Counseling,144144,Glenwood Life Counseling Center,Mental Health,,
Care,Family Counseling,144350,House of Change Behavioral Health,Mental Health,,
Care,Case Management,144868,Youth Empowered Society,Mental Health,,
Care,Standard & Intensive Group Counseling,144159,"Bon Secours, New Hope Treatment Center",Mental Health,,
Care,Individual and Group Counseling,144148,Belair Health Solutions,Mental Health,,
Care,Family Reunification Services (Servicios de de ReunificaciÃ³n Familiar),145206,Esperanza Center (Se habla EspaÃ±ol),Mental Health,,
