id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
139776,,,,"Offers supportive housing to homeless women, including those with HIV/AIDS, chemical dependence and victims of domestic violence.  Assist women in providing services or support through community referrals, counseling and education.",sister2sisterhouse@gmail.com,,,,Sister to Sister House of New Beginnings,,,
138167,,,,Provides residential and day education programs for children and youth who are blind or have a visual impairment.,info@mdschblind,,,,Maryland School for the Blind,,,http://www.marylandschoolfortheblind.org
137787,,,,"Initiates legal proceedings to secure child support, enforces the laws of the Maryland General Assembly and assists victims and witnesses.",ccstatesattorney@ccg.carr.org,,,,Carroll County State's Attorney's Office,,,http://www.ccgovernment.carr.org/ccg/directory.asp
138472,,,,Investigates violations of federal law.,,,,,Federal Bureau of Investigation,,,http://www.fbi.gov/
137857,,COIL,,"A community alliance in West and Southwest Baltimore providing services to pre-school children, elderly, illiterate adults and prospective home buyers.  Promotes community education, progress and stability.  Also provides homeownership counseling, tenants counseling, and affordable housing for low-income persons.",coiline@aol.com,,,,"COIL: Communities Organized to Improve Life, Inc.",,,
137695,,,,Provides recreational activities and maintains parks for Baltimore County. Volunteers ages 14 and over are welcome.,recparks@baltimorecounty.md.gov,,,,Baltimore County Dept. of Recreation and Parks,,,http://www.baltimorecountymd.gov
137945,,,,Provides a 16-bed psychiatric group home.,,,,,"Fellowship House, Inc.",,,http://www.cbhhealth.com
137683,,Baltimore City Dept. of Housing & Community Development,,Serves citizens of Baltimore City with housing-related programs.  Combination of Baltimore City Dept' of Housing & Community Development and Baltimore City Housing Authority.,,,,,Baltimore Housing,,,http://www.baltimorehousing.org
139808,,,,"Provides information to the public about organ and tissue donations.  Provides organ donor cards and public education programs.  Staff is available 24 hours a day to the medical community for organ donor referrals and evaluation, donor maintenance, organ retrieval and assistance with obtaining consent.  Adult volunteers needed.",jford@thellf.org,,,,"Living Legacy Foundation, The",,,http://www.thellf.org
138171,,,,"Provide effective systems of public education, library services, and rehabilitation services for students in grades K-12.",,,,,Maryland State Dept. of Education,,,http://www.msde.state.md.us
