taxonomy_id,name,parent_id,parent_name
T,Organizational/Community/International Services,,
TA,Arts and Culture,T,Organizational/Community/International Services
TA-0400,Artist Services,TA,Arts and Culture
TA-0400.0350,Artist Communities,TA-0400,Artist Services
TA-0400.0390,Artist Relief Funds,TA-0400,Artist Services
TA-0400.0400,Artist in Residence Programs,TA-0400,Artist Services
TA-0400.0500,Artist Registries,TA-0400,Artist Services
TA-0400.0500-800,Slide Registries,TA-0400.0500,Artist Registries
TA-0400.0900,Exhibit Space for Artists,TA-0400,Artist Services
TA-0400.8000,Studio Space for Artists,TA-0400,Artist Services
TA-0400.8500,Touring Assistance Programs,TA-0400,Artist Services
TA-0480,Arts Centers,TA,Arts and Culture
TA-0500,Arts Festivals,TA,Arts and Culture
TA-1400,Circuses,TA,Arts and Culture
TA-1550,Cultural Heritage Programs,TA,Arts and Culture
TA-1550.2000,Ethnic/Cultural Festivals,TA-1550,Cultural Heritage Programs
TA-1700,Dance Performances,TA,Arts and Culture
TA-1700.1000,Ballet Performances,TA-1700,Dance Performances
TA-1700.1800,Dance Recitals,TA-1700,Dance Performances
TA-1700.2000,Folk/Ethnic Dance Performances,TA-1700,Dance Performances
TA-1700.5000,Modern Dance Performances,TA-1700,Dance Performances
TA-1700.8000,Senior Dance Troupe Performances,TA-1700,Dance Performances
TA-1850,Eclectic Performances/Stage Acts,TA,Arts and Culture
TA-1850.0500,Acrobatics Performances,TA-1850,Eclectic Performances/Stage Acts
TA-1850.1500,Clowning,TA-1850,Eclectic Performances/Stage Acts
TA-1850.2000,Daredevil Acts,TA-1850,Eclectic Performances/Stage Acts
TA-1850.2500,Escape Artist Acts,TA-1850,Eclectic Performances/Stage Acts
TA-1850.2600,Fortune Tellers,TA-1850,Eclectic Performances/Stage Acts
TA-1850.3000,Impersonation Acts,TA-1850,Eclectic Performances/Stage Acts
TA-1850.3500,Juggling Acts,TA-1850,Eclectic Performances/Stage Acts
TA-1850.4500,Light and Sound Presentations,TA-1850,Eclectic Performances/Stage Acts
TA-1850.5000,Magic Shows,TA-1850,Eclectic Performances/Stage Acts
TA-1850.8000,Stage Hypnotist Acts,TA-1850,Eclectic Performances/Stage Acts
TA-1850.8500,Storytelling,TA-1850,Eclectic Performances/Stage Acts
TA-1850.9000,Ventriloquism Acts,TA-1850,Eclectic Performances/Stage Acts
TA-2000,Film Presentations,TA,Arts and Culture
TA-2800,Historic Preservation,TA,Arts and Culture
TA-2800.0300,Art Conservation/Preservation,TA-2800,Historic Preservation
TA-2800.0600,Art Curatorial Clinics,TA-2800,Historic Preservation
TA-2800.0900,Art/Collectibles Appraisal Services,TA-2800,Historic Preservation
TA-2800.2000,Film Preservation,TA-2800,Historic Preservation
TA-2800.3000,Historic Burial Site Preservation,TA-2800,Historic Preservation
TA-2800.3500,Historic Landmark Preservation,TA-2800,Historic Preservation
TA-2800.4000,Historical Markers,TA-2800,Historic Preservation
TA-2800.5000,Memorials/Monuments Sponsorship,TA-2800,Historic Preservation
TA-2850,Historical Societies,TA,Arts and Culture
TA-3000,Humanities Activities/Events,TA,Arts and Culture
TA-3000.0750,Book Distribution Programs,TA-3000,Humanities Activities/Events
TA-3000.0800,Book Fairs,TA-3000,Humanities Activities/Events
TA-3000.0900,Book Readings,TA-3000,Humanities Activities/Events
TA-3000.1000,Book Signings,TA-3000,Humanities Activities/Events
TA-3000.4500,Local History Programs,TA-3000,Humanities Activities/Events
TA-3000.5900,Oral History Programs,TA-3000,Humanities Activities/Events
TA-3000.6000,Poetry Readings,TA-3000,Humanities Activities/Events
TA-3000.6500,Public Lectures/Discussions,TA-3000,Humanities Activities/Events
TA-3300,Ice Skating Performances,TA,Arts and Culture
TA-5500,Museums,TA,Arts and Culture
TA-5500.0300,Agricultural Museums,TA-5500,Museums
TA-5500.0500,Art Museums,TA-5500,Museums
TA-5500.1500,Children's Museums,TA-5500,Museums
TA-5500.2000,Firefighting Museums,TA-5500,Museums
TA-5500.2150,Food and Wine Museums,TA-5500,Museums
TA-5500.3000,History Museums,TA-5500,Museums
TA-5500.3000-100,Costume and Textile Museums,TA-5500.3000,History Museums
TA-5500.3000-150,Cultural Museums,TA-5500.3000,History Museums
TA-5500.3000-300,Historic House Museums,TA-5500.3000,History Museums
TA-5500.3000-400,Living History Museums,TA-5500.3000,History Museums
TA-5500.3000-450,Local/Regional History Museums,TA-5500.3000,History Museums
TA-5500.3200,Hobbyist/Collectibles Museums,TA-5500,Museums
TA-5500.3300,Horology Museums,TA-5500,Museums
TA-5500.4300,Labor and Industry Museums,TA-5500,Museums
TA-5500.4550,Literary Museums,TA-5500,Museums
TA-5500.5000,Marine/Maritime Museums,TA-5500,Museums
TA-5500.5200,Media Museums,TA-5500,Museums
TA-5500.5250,Medical Museums,TA-5500,Museums
TA-5500.5500,Military Museums,TA-5500,Museums
TA-5500.5800,Money/Numismatics Museums,TA-5500,Museums
TA-5500.6000,Motion Picture Museums,TA-5500,Museums
TA-5500.6150,Music Museums,TA-5500,Museums
TA-5500.6500,Natural History Museums,TA-5500,Museums
TA-5500.6800,Park Museums and Visitor Centers,TA-5500,Museums
TA-5500.7000,Philatelic Museums,TA-5500,Museums
TA-5500.7500,Planetariums/Observatories,TA-5500,Museums
TA-5500.7700,Religious Museums,TA-5500,Museums
TA-5500.8000,Science and Technology Museums,TA-5500,Museums
TA-5500.8300,Sports Museums,TA-5500,Museums
TA-5500.8800,Theater/Performing Arts Museums,TA-5500,Museums
TA-5500.8900,Toy and Doll Museums,TA-5500,Museums
TA-5500.9000,Transportation Museums,TA-5500,Museums
TA-5500.9000-040,Automotive Museums,TA-5500.9000,Transportation Museums
TA-5500.9000-070,Aviation Museums,TA-5500.9000,Transportation Museums
TA-5500.9000-100,Bicycle Museums,TA-5500.9000,Transportation Museums
TA-5500.9000-700,Railroad Museums,TA-5500.9000,Transportation Museums
