bom,id,name,taxonomy_id,parent_id,parent_name,type,filter,filter_parent,filter_priority
,1,Emergency,101,,,service,FALSE,FALSE,
,2,Disaster Response,101-01,101,Emergency,service,FALSE,FALSE,
,3,Emergency Cash,101-02,101,Emergency,service,FALSE,FALSE,
,4,Help Pay for Food,101-02-01,101-02,Emergency Cash,service,FALSE,FALSE,
,5,Help Pay for Healthcare,101-02-02,101-02,Emergency Cash,service,FALSE,FALSE,
,6,Help Pay for Housing,101-02-03,101-02,Emergency Cash,service,FALSE,FALSE,
,7,Help Pay for Gas,101-02-04,101-02,Emergency Cash,service,FALSE,FALSE,
,8,Help Pay for School,101-02-05,101-02,Emergency Cash,service,FALSE,FALSE,
,9,Help Pay for Utilities,101-02-06,101-02,Emergency Cash,service,FALSE,FALSE,
,10,Emergency Food,101-03,101,Emergency,service,FALSE,FALSE,
,11,Emergency Shelter,101-04,101,Emergency,service,FALSE,FALSE,
,12,Help Find Missing Persons,101-05,101,Emergency,service,FALSE,FALSE,
,13,Immediate Safety,101-06,101,Emergency,service,FALSE,FALSE,
,14,Help Escape Violence,101-06-01,101-06,Immediate Safety,service,FALSE,FALSE,
,15,Safe Housing,101-06-02,101-06,Immediate Safety,service,FALSE,FALSE,
,16,Psychiatric Emergency Services,101-07,101,Emergency,service,FALSE,FALSE,
,17,Food,102,,,service,FALSE,FALSE,
,18,Community Gardens,102-01,102,Food,service,FALSE,FALSE,
,19,Emergency Food,102-02,102,Food,service,FALSE,FALSE,
,20,Food Delivery,102-03,102,Food,service,FALSE,FALSE,
,21,Food Pantry,102-04,102,Food,service,FALSE,FALSE,
,22,Free Meals,102-05,102,Food,service,FALSE,FALSE,
,23,Help Pay for Food,102-06,102,Food,service,FALSE,FALSE,
,24,Food Benefits,102-06-01,102-06,Help Pay for Food,service,FALSE,FALSE,
,25,Nutrition,102-07,102,Food,service,FALSE,FALSE,
,26,Housing,103,,,service,FALSE,FALSE,
,27,Emergency Shelter,103-01,103,Housing,service,FALSE,FALSE,
,28,Help Find Housing,103-02,103,Housing,service,FALSE,FALSE,
,29,Help Pay for Housing,103-03,103,Housing,service,FALSE,FALSE,
,30,Help Pay for Utilities,103-03-01,103-03,Help Pay for Housing,service,FALSE,FALSE,
,31,Help Pay for Internet or Phone,103-03-02,103-03,Help Pay for Housing,service,FALSE,FALSE,
,32,Home & Renters Insurance,103-03-03,103-03,Help Pay for Housing,service,FALSE,FALSE,
,33,Housing Vouchers,103-03-04,103-03,Help Pay for Housing,service,FALSE,FALSE,
,34,Maintenance & Repairs,103-04,103,Housing,service,FALSE,FALSE,
,35,Housing Advice,103-05,103,Housing,service,FALSE,FALSE,
,36,Foreclosure Counseling,103-05-01,103-05,Housing Advice,service,FALSE,FALSE,
,37,Homebuyer Education,103-05-02,103-05,Housing Advice,service,FALSE,FALSE,
,38,Residential Housing,103-06,103,Housing,service,FALSE,FALSE,
,39,Long-Term Housing,103-06-01,103-06,Residential Housing,service,FALSE,FALSE,
,40,Assisted Living,103-06-01-01,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,41,Independent Living,103-06-01-02,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,42,Nursing Home,103-06-01-03,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,43,Public Housing,103-06-01-04,103-06-01,Long-Term Housing,service,FALSE,FALSE,
