id,organization_id,accessibility,admin_emails,alternate_name,description,email,languages,latitude,longitude,name,transportation,virtual,website
1,139776,,,139776,"OVERVIEW: Offers transitional housing for up to two years and provides support through community referrals, counseling and education.

DONATIONS: In need of clothing, household good and leisure equipment. 

VOLUNTEERS: Not needed at this time.",sister2sisterhouse@gmail.com,,39.33704410000001,-76.68149319999999,Sister to Sister House of New Beginnings,,,
2,138022,,,138022,"1) CIVIL PRO BONO & REDUCED FEE PLACEMENT:  Clients are referred to attorneys based on income and case type.

2) DOMESTIC VIOLENCE: Provides representation in domestic violence cases. Assistance dependent upon income and case type.

3) CIVIL DEFERRED FEE PLACEMENT: Defers payment of attorney fees to conclusion of case.  Eligibility for program is based on income and case type.

4) LAWYER REFERRAL SERVICES: Referrals to attorneys specializing in areas of clients' needs are provided.  Fees arranged between client and attorney.

5) CRIMINAL REDUCED FEE PROGRAM: For persons charged with a crime and who do not qualify for a public defender.

VOLUNTEERS: No volunteers needed.

Home visits: No                     ",harcobar@iximd.com,,39.5369519,-76.34955090000001,Harford County Bar Foundation,,,
3,137787,,,137787,"SERVICES:
1) CHILD SUPPORT ENFORCEMENT:  Initiates legal proceedings to secure child support from absent parents.  Establishes paternity for children born out of wedlock and enforces child support orders.  410-386-2350, Option 3. 

2) CRIMINAL DIVISION:  Represents the citizens and consensus of Carroll County in all matters in which the state has an interest.  Enforces the laws established by the Maryland General Assembly and upheld by the courts.    

3) VICTIM WITNESS ASSISTANCE AND DOMESTIC VIOLENCE UNIT: Assists victims' witnesses and victims of domestic violence through the court system.  Requests restitution and provides court accompaniment, trial date notification and counseling.  cALL 410-386-2671. 

VOLUNTEERS: High school/college interns needed to assist with services (non-paid)

Home visits: No                     ",ccstatesattorney@ccg.carr.org,Special arrangements possible.,39.5711049,-76.9874111,Carroll County State's Attorney's Office,,,
4,138472,,,Federal Bureau of Investigation,"OVERVIEW: Investigates violations of federal laws, such as bank robberies, bank fraud, interstate crimes, cases involving fugitives, white collar crime, public corruption, civil rights violations, drug trafficking, threats to national security and health insurance fraud.                                                    

REGIONAL OFFICES:
o  11700 Beltsville Drive, Suite 200, Calverton, MD 20705.  Phone: 301-572-5400.
Investigates cases in Prince George's County.

o 2400 Research Blvd., Suite 390, Rockville MD 20850. Phone: 301-869-2920.
Investigates cases in Montgomery County. 

o  1003 West 7th Street, Suite 320, Fairview Center, Frederick, MD 21701. Phone: 301-663-3469.
Investigates cases in Washington, Allegany, Garrett, Frederick, and Carroll Counties.

o  35 Fulford Avenue, Suite 200, Bel Air, MD  21014.  Phone: 410-838-4349 or 410-879-5240.
Investigates cases in Harford County.

o  200 Harry S. Truman Parkway, Suite 350, Annapolis, MD 21401.  Phone: 410-224-3344.
Investigates cases in Anne Arundel, Calvert, St. Mary's, Charles, Queen Anne's and Kent counties.

o  212 West Main Street, Suite 202A, Salisbury, MD 21801.  Phone: 410-749-5249.
Investigates cases in Somerset, Worcester, Wicomico, Dorchester, Caroline, and Talbot Counties.

o  926 North King Street, Suite 104, Wilmington, DE 19801.  Phone: 302-658-4391.
Investigates cases in Cecil County, Maryland, and New Castle County, Delaware.

VOLUNTEERS:  No volunteers needed.

Home visits: No                     ",baltimore@fbi.gov,,39.326731,-76.7526257,"Federal Bureau of Investigation, Baltimore Field Office",,,
5,138188,,,Clairvaux Farm,"1) HOUSING: Provides emergency and transitional housing.

2) RAINBOW FUND:  Provides assistance with emergency food, clothing, furniture, appliances, and funds for medical needs items (Pick-up for Cecil Co. only).

3) ROAD WORKS-CHILDREN and YOUTH AFTERCARE: Provided for children and families who have experienced homelessness. Volunteer mentors keep kids connected with help and support needed to achieve their success in life. Donna Hitcher, Program Director. 410-398-4381. donna@meetingground.org.

4) DONATIONS:  Accepts food, clothing, furniture and appliances.

VOLUNTEERS:  18 and older volunteers are needed to assist with a variety of services.

ADDITIONAL SHELTER LOCATIONS:

1) CLAIRVAUX FARM: 21 Veazey Cove, Earleville, MD. 21919. 410-275-8990. Contact Person, Cynthia Wood.

2) WAYFARER'S HOUSE: Females and women w/children ONLY.  107 Delaware Avenue, Elkton, MD.  21921. 410-398-4381 Contact Person, Marsha Mazza.

3) SETTLEMENT HOUSE: Men's shelter. 168 Main Street, Elkton, MD. 21921. 410-392-8066. Contact Alison Windle-Hawkins. settlementhouse@yahoo.com

4) GEORGE PORTER HOUSE: Transitional house for 8 persons. 238 Mackall Street, Elkton, MD. 21921. 410-398-4381. Contact, Marsha Mazza, Director. wayfarer@meetingground.org

5) ROTATING CHURCH BASED WINTER SHELTER: Men, women and families. Intake for women and families at the Wayfarer House, men at the Settlement House. 3-5PM during winter months. 443-617-0856. Tyra Parker, Director. linktyra@aol.com.

Home visits: No                     ",info@meetingground.org,Spanish and German.,,,"Meeting Ground, Inc.",,,
6,137857,,,137857,"Provides information & referral to community resources for residents of Southwest Baltimore, including health education, computer classes; discussion & support groups, trips and other recreational activities. 

BUS: #20, #10, #15

TRANSPORTATION: Transportation for Senior Program is offered for a minimal fee which can be waived if client is income eligible. 

SERVICES:
1) INFORMATION & REFERRAL: Refers residents a variety of community human service resources.

2) ADULT LITERACY PROGRAM:  See separate entry for Learning Bank.

3) SENIOR PROGRAM: Offers volunteer opportunities, telephone reassurance, health screenings, health education, computer classes, discussion and support groups, trips, crafts, games and other activities. Community residents, who are 60 years of age and older, mobile and self-sufficient, are eligible to join.  Serves daily lunches.  (Located at 100 S. Calhoun Street.) 

4) DONATIONS/HOLIDAYS: Accepting donations of food and books & toys for children 10 and under.

VOLUNTEERS: Volunteers, ages 16 and older, are needed to help with meal preparation, chaperone trips and assist with activities for seniors. They may also help with office duties and participate in community clean up activities. This volunteer service may be used to fulfill high school service learning requirement.

Home visits: For established clients",,,39.2889092,-76.6369842,"COIL: Communities Organized to Improve Life, Inc.",,,
7,137695,,,137695,"44 Recreation Councils offer day care, cultural and performing arts, hobbies, nature and outdoor education, social activities, special events, sports/fitness activities, therapeutic recreation and water-oriented activities for persons of all ages, including persons with disabilities.

VOLUNTEERS: Volunteers ages 14 and older are welcome.

Home visits: No                     ",recparks@baltimorecountymd.gov,,39.3994514,-76.60615969999999,Baltimore County Dept. of Recreation and Parks,,,
8,137945,,,137945,"16-bed psychiatric group home providing rehabilitation services, case management,  group meetings, daily living skills, vocational counseling and a liaison with treating therapist and psychiatrist. Also have clinical trials for persons diagnosed with schizophrenia.

VOLUNTEERS:  Program does not use volunteers or interns.

Home visits: No                     ",fellowhouse@cbhealth.com,,39.2980273,-76.6138552,"Fellowship House, Inc.",,,
9,137683,,,"Baltimore City Housing Authority, Family Enhancement Unit","OVERVIEW:  Provides case management, information and referral in the areas of child-rearing, adolescent behavior, education, employment, housing retention, family self-sufficiency, health and household management, and crisis intervention counseling to individuals, groups, and families.
 
VOLUNTEERS:  Volunteers are welcome.  Call for information.

Home visits: Yes                    ",varnell.britt@habc.org,,39.3228746,-76.6196927,"Baltimore Housing, Family Enhancement Unit",,,
10,137683,,,"Baltimore City Dept. of Housing & Comm. Dev, Home Ownership/Reha","SERVICES:
1) FOR PROSPECTIVE HOME BUYERS:                                          
o TENANT CONVERSION ASSISTANCE:  Provides counseling to tenants receiving notice under the Tenant's Right-of-First Refusal Ordinance.                             
o LOAN UNDERWRITING:  Packages and underwrites first mortgage acquisition resources utilizing public programs or non-profit developers.                                                       
2) FOR HOMEOWNERS:                                           
o REHABILITATION LOANS FOR HOUSING CODE REPAIRS:  Provides low and moderate income homeowners with funds to complete housing code violations.  May also offer wheelchair accessibility funding for someone who may be disabled and need modifications done to their home. 
o REHABILITATION LOANS (EMERGENCY):  Provides deferred loans for emergency repairs to very low income homeowners on a limited basis. The loan has to be paid upon vacating the property.
o HOME MAINTENANCE INFORMATION:  Provides information on keeping property in good working condition and lead-free.
o CONTRACTOR AND ESTIMATING SERVICES:  Provides guidance on selecting a contractor to complete repairs.                                                

VOLUNTEERS: Volunteers are not needed at this time.

Home visits: Yes                    ",tom.jaudon@baltimorecity.gov,Accommodations possible.,39.2900971,-76.60922889999999,"Baltimore Housing, Home Ownership & Rehabilitation Services",,,
