id,location_id,attention,address_1,address_2,city,state_province,postal_code,country
1,1,,4402 White Oak Avenue,,Baltimore,MD,21215,us
2,2,,5 North Main Street,,Bel Air,MD,21014,us
3,2,,5 N. Main Street,Suite 200,Bel Air,MD,21014,us
4,3,,55 N. Court Street,Suite 100,Westminster,MD,21157,us
5,4,,2600 Lord Baltimore Drive,,Baltimore,MD,21244,us
6,5,,Po Box 808,,Elkton,MD,21922,us
7,6,,Inc.,1200 W. Baltimore Street,Baltimore,MD,21223,us
8,6,,1200 W. Baltimore Street,,Baltimore,MD,21223,us
9,7,,105 West Chesapeake Avenue,,Towson,MD,21204,us
10,8,,707 St. Paul Street,,Baltimore,MD,21202,us
11,9,,123 W. 29Th Street,2Nd Floor,Baltimore,MD,21218,us
12,9,,123 W 29Th Street,2Nd Floor,Baltimore,MD,21218,us
13,10,,417 E. Fayette Street,Suite 1125,Baltimore,MD,21202,us
14,11,,2700 N. Charles Street,Suite 202,Baltimore,MD,21218,us
15,12,,2707 Sethlow Road,,Baltimore,MD,21225,us
16,10,,417 E. Fayette Street,Suite 923,Baltimore,MD,21202,us
17,13,,2803 Dukeland Street,,Baltimore,MD,21216,us
18,14,,621 North Eden Street,,Baltimore,MD,21205,us
19,15,,1400 Orleans Street,(Dunbar High School),Baltimore,MD,21231,us
20,16,,1225 W Pratt Street,,Baltimore,MD,21223,us
21,17,,900 E. Madison Street,,Baltimore,MD,21202,us
22,18,,5225 York Road,,Baltimore,MD,21212,us
23,19,,2630 Harford Road,,Baltimore,MD,21218,us
24,20,,3314 Ayrdale Avenue,,Baltimore,MD,21216,us
25,21,,3939 Reisterstown Road,,Baltimore,MD,21215,us
26,22,,1221 West Pratt Street,,Baltimore,MD,21223,us
27,23,,3411 Bank Street,,Baltimore,MD,21224,us
28,24,,606 Cherry Hill Road,,Baltimore,MD,21225,us
29,25,,1133 Pennsylvania Avenue,,Baltimore,MD,21217,us
30,26,,5999 Harpers Farm Road,Suite 200 E,Columbia,MD,21044,us
31,27,,201 West Preston Street,,Baltimore,MD,21201-2399,us
32,28,,113 Towsontown Boulevard,Suite A,Towson,MD,21286,us
33,29,,4451 Parliament Place-Z,Metro Business Center,Lanham,MD,20706,us
34,30,,5 Public Square,"Suite 511, Professional Arts Bldg.",Hagerstown,MD,21740,us
35,31,,"Region Ii, Southern Maryland","2001-A Commerce Park Drive, Suite 2",Annapolis,MD,21401-2913,us
36,32,,1010 Park Avenue,Suite 110,Baltimore,MD,21201,us
37,33,,"Region Iv, Eastern Shore","917 Mt. Hermon Road, Suite 4",Salisbury,MD,21804,us
38,34,,1000 Hilltop Circle,"Academic Iv-A Wing, Rm. 107",Catonsville,MD,21250,us
39,35,,200 W. Baltimore Street,,Baltimore,MD,21201,us
40,36,,Physically Handicapped,415 Park Avenue,Baltimore,MD,21201,us
41,35,,200 W. Baltimore Street,10Th Floor,Baltimore,MD,21201,us
42,37,,3 Pershing Street,,Cumberland,MD,21502,us
43,38,,Arundel County,"100 Community Place,  Room 1.534",Crownsville,MD,21032,us
44,11,,City,2700 N. Charles Street Suite 203,Baltimore,MD,21218,us
45,39,,409 Washington Avenue,Suite Ll8,Towson,MD,21204,us
46,40,,P.O. Box 1709,,Leonardtown,MD,20650-9999,us
47,41,,1004 Littlestown Pike,,Westminster,MD,21157,us
48,42,,413 W. Bel Air Avenue,,Aberdeen,MD,21001,us
49,43,,301 Bay Street,Suite 305,Easton,MD,21601,us
50,44,,5303 Spectrum Drive,Suite G,Frederick,MD,21703,us
51,45,,41 Highview Drive,,Oakland,MD,21550,us
52,46,,3300 North Ridge Road,Suite 190,Ellicott City,MD,21043,us
53,47,,"201 Baptist Street, Suite 32","Multi-Service Bldg., 2Nd Floor",Salisbury,MD,21801,us
54,48,,51 Monroe Place,Suite 200,Rockville,MD,20850,us
55,49,,807 Brightseat Road,,Landover,MD,20785,us
56,50,,"6 West Washington Street, Suite 311",,Hagerstown,MD,21740,us
57,51,,2301 Argonne Drive,,Baltimore,MD,21218-1696,us
58,52,,6211 Harford Road,,Baltimore,MD,21214,us
59,53,,3723 Old Court Road,Suite 205,Pikesville,MD,21208,us
60,54,,6401 York Road,,Baltimore,MD,21212,us
61,54,,6401 York Road,,Baltimore,MD,21212,us
62,55,,745 West Fayette St.,,Baltimore,MD,21201-1111,us
63,56,,St. Joseph Home Care,"8003 Corporate Drive, Suite G",Baltimore,MD,21236,us
64,57,,501 S. Union Avenue,,Havre De Grace,MD,21078,us
65,58,,500 Upper Chesapeake Drive,,Bel Air,MD,21014,us
66,59,,2714 Hudson Street,,Baltimore,MD,21224,us
67,60,,P.O. Box 1475,,Baltimore,MD,21203,us
68,61,,Baltimore Gas & Electric Co.,39 W. Lexington Street,Baltimore,MD,21201,us
69,62,,4213 Loch Raven Blvd.,,Baltimore,MD,21218-1409,us
70,63,,Anne Arundel County,17 Cypress Creek Road,Severna Park,MD,21146,us
71,64,,515 South Haven Street,,Baltimore,MD,21224-4220,us
72,65,,255 Clifton Boulevard,Suite 312,Westminster,MD,21157,us
73,66,,45 North Main Street,Suite D,Bel Air,MD,1421028,us
74,67,,9200 Old Annapolis Road,Suite 205,Columbia,MD,21045,us
75,68,,2500 West Lombard Street,,Baltimore,MD,21223,us
76,69,,501 Hampton Lane,,Towson,MD,21286,us
77,70,,5807 Harford Rd.,,Baltimore,MD,21214-1895,us
78,71,,115 Stoner Avenue,,Westminster,MD,21157-5443,us
79,72,,218 North Charles Street,Suite 301,Baltimore,MD,21218,us
80,73,,1 Dc Village Lane Sw,,Washington,DC,20032,us
81,74,,330 N. Howard Street,,Baltimore,MD,21201,us
82,75,,929 West Street,Suite 305,Annapolis,MD,21401,us
83,74,,330 North Howard Street,,Baltimore,MD,21201,us
