id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
139776,,,,"Offers supportive housing to homeless women, including those with HIV/AIDS, chemical dependence and victims of domestic violence.  Assist women in providing services or support through community referrals, counseling and education.",sister2sisterhouse@gmail.com,,,,Sister to Sister House of New Beginnings,,,
138022,,,,Provides referrals to Harford County attorneys.,harcobar@iximd.com,,,,Harford County Bar Foundation,,,http://mdlaw.net/harford
137787,,,,"Initiates legal proceedings to secure child support, enforces the laws of the Maryland General Assembly and assists victims and witnesses.",ccstatesattorney@ccg.carr.org,,,,Carroll County State's Attorney's Office,,,http://www.ccgovernment.carr.org/ccg/directory.asp
138472,,,,Investigates violations of federal law.,,,,,Federal Bureau of Investigation,,,http://www.fbi.gov/
138188,,,,"Provides emergency housing for homeless men, women and children. Support for children experiencing homelessness. Rotating church based winter shelter. Offers emergency food, clothing, furniture appliances and funds for medical needs. Youth and adult volunteers are welcome.",info@meetingground.org,,,,"Meeting Ground, Inc.",,,http://www.meetingground.org
137857,,,,"A community alliance in West and Southwest Baltimore providing services to pre-school children, elderly, illiterate adults and prospective home buyers.  Promotes community education, progress and stability.  Also provides homeownership counseling, tenants counseling, and affordable housing for low-income persons.",coiline@aol.com,,,,"COIL: Communities Organized to Improve Life, Inc.",,,
137695,,,,Provides recreational activities and maintains parks for Baltimore County. Volunteers ages 14 and over are welcome.,recparks@baltimorecounty.md.gov,,,,Baltimore County Dept. of Recreation and Parks,,,http://www.baltimorecountymd.gov
137945,,,,Provides a 16-bed psychiatric group home.,,,,,"Fellowship House, Inc.",,,http://www.cbhhealth.com
137683,,,,Serves citizens of Baltimore City with housing-related programs.  Combination of Baltimore City Dept&#39; of Housing &amp; Community Development and Baltimore City Housing Authority.,,,,,Baltimore Housing,,,http://www.baltimorehousing.org
137953,,,,"Provides information and referral to foreign born individuals in need of resources such as interpreter &amp; translation services, English classes, employment counseling, educational programs, job search/placement, health care, transportation and other services.",klilly@firnonline.org,,,,Foreign-Born Information & Referral Network (FIRN),,,http://www.firnonline.org
138171,,,,"Provide effective systems of public education, library services, and rehabilitation services for students in grades K-12.",,,,,Maryland State Dept. of Education,,,http://www.msde.state.md.us
139330,,,,Provides a variety of homecare and support services to the elderly and individuals of all ages with mental and physical disabilities.,victoirehs@netzero.com,,,,"Victoire Health Services, Inc.",,,
138872,,,,"All women organization designed to enhance the quality of American and Jewish life through its education and Zionist youth programs.  Raises funds for Israeli hospitals, welfare, and other educational programs.",baltimore.chapter@hadassah.org,,,,Hadassah,,,http://www.baltimore.hadassah.org
139760,,,,The LMB and its partners work together to identify and prioritize human service needs in the Baltimore County.  These needs form the basis of a planning process that directs the pursuit of resources to fill identified gaps in the service delivery system.,rdavis@baltimorecountymd.gov,,,,Baltimore County Local Management Board,,,http://www.baltimorecountymd.gov/agencies/lmb/index.html
137791,,,,Operates a food pantry for anyone in need and provides Christmas food baskets for the holidays.,slaw776@hotmail.com,,,,Carter Memorial Church of God in Christ,,,http://www.cartermemorial.org
138034,,,,A Harford County-based health care organization committed to building a stronger local health care system.  Includes Harford Memorial Hospital and Upper Chesapeake Home Care.,,,,,Upper Chesapeake Health System,,,http://www.uchs.org
139019,,,,"Provides information, education, advocacy and referrals to medical professionals regarding childhood lead poisoning.",info@leadsafe.org,,,,Coalition to End Childhood Lead Poisoning,,,http://www.leadsafe.org
137705,,,,Supplies the greater Baltimore area with gas and electricity services. Also offers programs to help those who are unable to pay their utility bills.,,,,,Baltimore Gas and Electric Company (BGE),,,http://www.bge.com
139598,,,,Network of churches organized to provide support to and basic needs of homeless families.,,,,,Baltimore Interfaith Hospitality Network,,,
139127,,,,"Delivers two meals a day, Mon-Fri, to homebound persons who are unable to cook or shop for themselves.",director@mowcm.org,,,,"Meals On Wheels, Central MD, Inc.",,,http://www.mowcm.org
138366,,,,Operates a soup kitchen; a parent support group; and offers clothing and financial assistance.,,,,,Shiloh Christian Community Church,,,http://www.shilohccchurch.com
139824,,,,Provides a food pantry to individuals and families in need in Baltimore County.,towsonumc@towsonumc.org,,,,Towson United Methodist Church,,,http://www.towsonumc.org
138018,,,,"Provides counseling, tutoring, substance abuse programs, homeowner&#39;s assistance and presentations to organizations for the northeast Baltimore community.",harbel.community@juno.com,,,,"Harbel Community Organization, Inc.",,,http://www.harbel.org
137752,,,,Provides a variety of services to persons with developmental disabilities who reside in Carroll County.,rick.glaser@changeinc.cc,,,,"CHANGE, Inc.",,,http://www.changeinc.cc
139035,,,,"Federal government agency that directs business, adults, youth, dislocated workers, and workforce professionals to training and employment services.",etapagemaster@dol.gov,,,,"U.S. Dept. of Labor, Employment & Training Admin.",,,http://www.doleta.gov/
138761,,,,"Through medical services, education and advocacy, Planned Parenthood has established a strong tradition of enabling Marylanders to make informed decisions about their health, family planning options and sexuality.",johnsblog@ppmaryland.org,,,,"Planned Parenthood of Maryland, Inc.",,,http://www.plannedparenthoodmd.org
137744,,,,"Operates a soup kitchen, food pantry and distributes clothing to Baltimore City residents in need.",,,,,Bread of Life Ministry,,,
139189,,,,Operates a residential halfway house for men recovering from substance abuse.,fayette77@aol.com,,,,"New Fayette House, Inc.",,,
137713,,,,"Provides several residential treatment facilities for abused, neglected, emotionally and behaviorally disturbed children and adolescents ages 9-20; and foster homes for medically fragile children from birth to 18 years of age.",info@boardofchildcare.org,,,,Board of Child Care,,,http://www.boardofchildcare.org
139131,,,,Serves as an architect and catalyst for needed policy development and change in the health and human service systems of Baltimore City. Provides advocacy and leadership necessary to ensure the protection and promotion of the health of Baltimore&#39;s citizens.,bchd@baltimorecity.gov,,,,Baltimore City Health Department,,,http://www.baltimorehealth.org/
138242,,,,"Provides services to residents who need emergency food or financial assistance for fuel, utility and eviction prevention. Also operates a thrift store.",nesaphampstead@aol.com,,,,"Northeast Social Action Program, Inc.",,,http://www.nespinc.org
138612,,,,Provides emergency food for residents of the Woodlawn area.,ecctk@verison.net,,,,Episcopal Church of Christ the King,,,http://www.ecctk.org
139453,,,,"Provides social and life skills development classes, social activities, counseling by phone (as needed) and parent-family support for persons who are learning disabled.",,,,,Group For the Independent Learning Disabled (GILD),,,
138491,,,,Graduate law school for accepted students. Also Assists eligible residents with legal matters by assigning law students to clients under the supervision of professors.,,,,,University of Baltimore School of Law,,,http://law.ubalt.edu
139280,,,,"Provides a variety of support services to the Hispanic/Latino community, including information &amp; referral, mediation, and sponsors public events.  Volunteers, 18 and older, welcome.",hispanicaffairs@baltimorecity.gov,,,,Mayor's Office of Hispanic Affairs,,,http://www.baltimorecity.gov
138887,,,,"As the direct services agency of the Annie E. Casey Foundation, offers in-home assistance for pregnant adolescents or teens with new babies, a grandparents support group, after school program, fatherhood services, and family support services.",lsimon@caseyfamilyservices.org,,,,Casey Family Services,,,http://www.caseyfamilyservices.org
137621,,,,"Provides vocational rehabilitation services and residential living for adults with severe, persistent mental illness and developmental disabilities.",,,,,Alliance Inc,,,http://www.allianceinc.org
138700,,,,Promotes and markets Baltimore as a major tourist and convention destination.,,,,,Baltimore Area Convention and Visitors Association,,,http://www.baltimore.org
139111,,,,Offers acupuncture treatment and trains people to become acupuncturists.,,,,,Traditional Acupuncture Institute (TAI),,,http://www.tai.edu
137949,,,,"Provides emergency food, holiday assistance and clothes.",,,,,First Baptist Church of Essex Pantry,,,
139054,,,,"Provides general outpatient mental health services for adults, children, couples and families.",,,,,Psych Associates of Maryland,,,http://www.psychassociatesofmd.com
138645,,,,Provides adult literacy services in the South Baltimore area.,ssocha@southbaltimorelearns.org,,,,South Baltimore Learning Corporation,,,http://www.southbaltimorelearns.org
138215,,,,"Offers the Carpenter&#39;s Kitchen, a soup kitchen.",mvpbalto@comcast.net,,,,Mt. Vernon Place United Methodist Church,,,
137733,,,,"Provides educational seminars and forums, a newsletter and resource center to those concerned with black mental health issues in Baltimore.",bhealthall@aol.com,,,,Black Mental Health Alliance for Education/Consultation,,,http://www.blackmentalhealth.com
137699,,,,"Provides law enforcement, police services and community programs for Baltimore County.",bcopd@baltimorecountymd.gov,,,,Baltimore County Police Department,,,http://www.baltimorecountymd.gov/police
137676,,,,"Provides a variety of support services for adults with developmental disabilities and their families, including vocational services; recreation; adult day programs; residential services; counseling; respite care and case management.",mstemler@arcofbaltimore.org,,,,"Arc of Baltimore, The",,,http://www.baltimorarc.org
138429,,,,Operates a soup kitchen every Monday.,,,,,St. Rita Catholic Church,,,
139557,,,,"Office was formed in 1989 to rebuild and serve the Collington Square community by offering drug treatment, preventing drug trafficking, and providing a safe, wholesome environment for area residents. Transistional housing for men and women. Also food, clothing and health care available.",Day1Sp@aol.com,,,,"Dayspring Programs, Inc",,,http://www.dayspringbaltimore.com
137725,,,,Provides emergency food to Baltimore City residents who have a referral from DSS or another social service agency.,mruss73160@aol.com,,,,Tabernacle Deliverance Community Church,,,
138829,,,,"Operates a 24-hour, 160-bed nursing facility with on-call physician care and rehabilitation services.  Also offers a specialized a Alzheimer&#39;s Unit.",,,,,"Beverly Living Centers, Westminster",,,
139384,,,,Works to protect the nation against further terrorist attacks.,,,,,U.S. Department of Homeland Security,,,http://www.dhs.gov/dhspublic
138595,,,,Investigates and arbitrates conflicts between employer and employee concerning wages.,,,,,Wage Commission,,,
138741,,,,Professional association for psychologists in Maryland that provides a referral service to the public.,exec@marylandpsychology.net,,,,Maryland Psychological Association,,,http://www.marylandpsychology.org
137908,,,,Offers emergency food to area residents in need.,dundalkcob@hotmail.com,,,,Dundalk Church of The Brethren Pantry,,,
138604,,,,"Based on 12 steps of Alcoholics Anonymous, the program provides people who suffer from obsessive-compulsive behaviors with mutual support.",,,,,Twelve Step Recovery Workshop,,,http://www.12steps-recovery.org
139296,,,,"Offers psychotherapy and counseling services. Behavioral healthcare services are designed to meet the specific needs of individual clients, groups and families.  Utilizing the strengths of the client, we are able to help clients realize their inner power to achieve healing and enhance the quality of their lives
.",,,,,Progressive Life Center,,,http://www.ntuplc.org
138038,,,,Provides free health care services to the homeless population in Maryland.,info@hchmd.org,,,,"Health Care for the Homeless, Inc.",,,http://www.hchmd.org
138468,,,,"Operates Westminster House which offers efficiency, junior one bedroom, one-bedroom, two bedroom apartments to persons ages 62 and older.",westministerhse02@aol.com,,,,"United Presbyterian Ministries, Inc.",,,
139783,,,,"Provides services to increase the economic and political empowerment of African Americans and other minorities in the urban population through senior programs, services for students, parenting classes, career development  and employment assistance, consumer education, financial literacy, mortgage counseling and a homeownership program for first time buyers.",HCD@gwul.org,,,,"Greater Washington Urban League, Inc.",,,http://www.gwul.org
139594,,,,"Provides tax assistance, homebuyer education, and financial counseling.",robin@ehcdc.org,,,,East Harbor Community Development Corporation,,,http://www.ehcdc.org
138690,,,,"Offers information and referral, community resources, counseling and support groups, residential support, employment services and educational awareness workshops for the general public. Adult volunteers welcome.",,,,,Abilities Network,,,http://www.abilitiesnetwork.org/
139081,,,,"Provides intensive outpatient substance abuse treatment, assessments and referrals.  Offers support services to the families of substance abusers.  Residential facility for women with Children  and transitional housing when treatment is complete at the Recovery Center.",prcbaltimore@aol.com,,,,"Powell Recovery Center, Inc.",,,http://www.powellrecoverycenter.com
138940,,,,Volunteer referral agency placing prospective volunteers in volunteer opportunities. Also operates a children&#39;s educational and recreational program in two Baltimore City elementary schools.,infomation@volunteercentral.net,,,,Business Volunteer Unlimited Maryland,,,http://www.bvumaryland.org
139347,,,,Transitional housing for females in recovery from substance abuse/alcohol abuse. Ex-offenders accepted. Educational and job training opportunities available.,bholmesesq@verizon.net,,,,Moriah House,,,
137709,,,,Works in partnerships to improve and expand services to non-reading and low-literacy adults by operating programs and providing technical assistance to Baltimore&#39;s literacy providers.,mmclaurin@baltimorereads.org,,,,"Baltimore Reads, Inc.",,,http://www.baltimorereads.org
138782,,,,"A 109 bed nursing facility providing short-term, long-term and rehabilitative services in a skilled nursing environment.",smartin@lvnh.com,,,,"Long View Nursing Home, Inc.",,,http://www.lvnh.com
137924,,,,"Provides comprehensive library services to residents of Baltimore City, including loans of books, CD&#39;s, videos and DVD&#39;s; access to the Internet; community programs; services for persons who are visually or hearing-impaired; and information &amp; referral to resources for the general public.",geninfo@prattlibrary.org,,,,Enoch Pratt Free Library,,,http://www.prattlibrary.org
137861,,,,Operates a food pantry which is open to anyone in need.,johnstonsq@aol.com,,,,Community Development Corporation,,,
138297,,,,Offers outreach and numerous direct human service programs to homeless persons and ex-offenders in the Baltimore area.,michael-brown204@hotmail.com,,,,"Prisoners Aid Association of MD, Inc.",,,http://www.prisonersaid.org
138014,,,,"Offers educational, recreational and parent/child programs for Hampden area residents of Baltimore City. Also offers energy assistance.",svassor@hampdenfamilycenter.org,,,,Hampden Family Center,,,http://www.hampdenfamilycenter.org
139740,,,,"Promotes community development and public safty through commercial development, community initiatives and block watch programs in the Washington Village/Pigtown area of Baltimore City.",,,,,WPNPC,,,
138794,,,,Provides general medical care.,,,,,"Promptcare, Inc.",,,
137877,,,,Helps recovering addicts and alcoholics by providing housing in a structured drug-free environment.  Also operates a resource center for alcohol/drug abusers.,harriettedeangelis@hotmail.com,,,,"Courage to Change Foundation, Inc.",,,
138901,,,,Operates assisted living facility for persons with developmental disabilities.,,,,,Creative Options,,,http://www.creativeopts.org
139756,,,,Provides housing for adults coming from or currently within a substance or alcohol abuse treatment center and are 60 days clean.  Offers 12-15 months stay.,ourrecoveryhomes@aol.com,,,,Our Recovery Homes,,,
138517,,,,Serves as an architect for needed policy development and change in the health and human service systems of Washington County.  Provides advocacy and leadership necessary to ensure the protection and promotion of the health of Washington County&#39;s citizens.,,,,,Washington County Health Department,,,http://www.washhealth.org
