id,location_id,attention,address_1,address_2,city,state_province,postal_code,country
1,139278,"East Baltimore Youth & Family Services Maceo Hallman, Program Director",Sojourner Douglass College,"200 N. Central Ave., 1St Fl, #114",Baltimore,MD,21202,US
2,138427,"St. Peter's Adult Learning Center Chip Woods, Director",13 S. Poppleton Street,,Baltimore,MD,21201,US
3,139776,"Sister To Sister House Of New BeginningsJames Reeder, Director                       ",4402 White Oak Avenue,,Baltimore,MD,21215,US
4,138167,"Maryland School For The BlindCarl Lancaster, Interim President and CEO    ",3501 Taylor Avenue,,Baltimore,MD,21236,US
5,137787,"Carroll County State's Attorney's OfficeJerry F. Barnes, State's Attorney            ",55 N. Court Street,Suite 100,Westminster,MD,21157,US
6,139054,"Psych Associates Of Maryland Barbara Schutz, Director",7130 Minstrel Way,Suite 212,Columbia,MD,21045,US
7,138472,"Federal Bureau Of InvestigationDirector Robert S. Mueller, III, Director    ","935 Pennsylvania Avenue, Nw",J. Edgar Hoover Building,Washington,DC,20535,US
8,138368,"Clinical Support Program Manager James Cox,","Sinai Hospital, Rehabilitation Center",2401 W. Belvedere Avenue,Baltimore,MD,21215,US
9,139289,"Booker T. Washington Middle School Derek Daniel, Principal",Thanksgiving Dinner,1301 Mcculloh Street,Baltimore,MD,21217,US
10,139791,"Alcoholics Anonymous, Baltimore Intergroup Susan Krieger, Administrator",8635 Loch Raven Boulevard,"Suite 4, 2Nd Floor",Baltimore,MD,21286,US
11,137691,"Victim/ Witness Service Unit Pam Widgeon, Division Chief",100 N. Calvert Street,Room 410,Baltimore,MD,21202,US
12,138760,"Muscular Dystrophy Association, Md/ South De Katie Mcguire, Healthcare Service Coordinator",8501 Lasalle Road,Suite 106,Towson,MD,21286,US
13,138182,"Mayors Office Of Employment Development Mary Sloat, Assistant Director, Wfo",417 E Fayette Street,Suite 468,Baltimore,MD,21202,US
14,137857,"Coil: Communities Organized To Improve LifeStacy Smith, Executive Director              ",1200 W. Baltimore Street,,Baltimore,MD,21223,US
15,139211,"Wyman Park Medical Center Rebecca Kritzler,Sr. Dir. Clinical Operations",3100 Wyman Park Drive,,Baltimore,MD,21211,US
16,138154,"Anne Arundel One-Stop Career Ctr, Glen Burnie Stephen Harrison, Labor Exchange Admin.",7480 Baltimore Annapolis Blvd.,Suite 100,Glen Burnie,MD,21061,US
17,139366,"Martha's Place Angela Long, Executive Director",1928 Pennsylvania Avenue,,Baltimore,MD,21217,US
18,137793,"Our Daily Bread Meal Services Dennis Murphy, Program Director",725 Fallsway,,Baltimore,MD,21202,US
19,138979,"Another Way, Inc. Neal Berch, Executive Director",11308 Grandview Avenue,2Nd Floor,Wheaton,MD,20902,US
20,137695,"Baltimore County Dept. Of Recreation And ParkRobert Barrett, Director                     ",105 West Chesapeake Avenue,,Towson,MD,21204-4767,US
21,138719,"Head Start Program, Emily Price Jones Roi Kenshahinton, Director",3510 Eldorado Avenue,,Baltimore,MD,21207,US
22,138394,"St. Ann's Infant And Maternity Home Sister Mary Bader, Ceo",4901 Eastern Avenue,,Hyattsville,MD,20782,US
23,138646,"Maryland Parole Commission David R. Blumberg, Chairperson",6776 Reisterstown Road,Suite 307,Baltimore,MD,21215,US
