organization_id,taxonomy_id
139278,YB-9500.0500
139278,YB-9500.1500
139278,YK-2000.2000
139278,YK-2000.2100
139278,YJ-0500.0300
139278,PH-2360
139278,R
139278,RF-2000
139278,YF-8000.1800-850
139278,YF-8000.1800
139278,FP-0500
139278,TD-1600.3100-140
139278,TJ-3000
139278,HL-8700
139278,PS-9800
139278,PH-6100.6800
139278,RP-1500
139278,YF-8000.0500
139278,RP-1400.8000-050
139278,PN-8100
139278,RX
139278,RX-0400.1500
139278,RP-1400.8000-070
139278,RX-0400.1855
138427,YF-1800
138427,ND-2000.6500-360
138427,YF-1800.5000
138427,LR-3200
138427,ND-9000
138427,PX
139054,RF-2000
139054,RF-1500
139054,R
139054,YB-9500.1500
139054,YB-9500.0500
139054,YF-5000
139054,RF-3300
139054,RP-5000.1500
139054,RP-1400.8000-050
139054,RP-6400.8000-620
139054,RP-1400.8000-675
138368,YF
138368,LH-2600
138368,L
138368,YF-3000.8200
138368,LL-3000
138368,LV-2400
138368,LF
138368,PH-6200.8400
138368,LV-6800
138368,YB-9500.0500
138368,LV-6800.0300
138368,YK-6500.6600-550
138368,YF-3000.1300
138368,YF-3000.1480
138368,R
138368,LV-1600
138368,YF-3000.3520
138368,LH-2700
138368,PH-3500
138368,YB-9500.3300
138368,YR-3500
138368,YF-5000
138368,YF-6500
138368,LH-2600.6500
138368,LR
138368,YK-6500.6600
138368,YX-0300
138368,YX-0500
138368,LV-1800
138368,YF-3000
138368,YX
138368,PX
138368,YF-3000.3280
138368,LV-8300.9000
138368,FT-3600
138368,YF-3000.1480-680
138368,YB-9500.1500
138368,YF-3000.2440
138368,YB-8000
138368,YF-3000.1480-120
138368,YF-3000.1480-150
138368,YF-3000.4640
138368,PN-8100
138368,RP-1400.8000-100
138368,RX-8450.7900
138368,RX-8450.8000
138368,RX
138368,RX-8450.8100
138368,RX-0400.1500
138368,RP-5000.1500
138368,RP-1400.8000-020.80
138368,RP-6400.8000-620
138368,YF-3000.1480-175.15
138368,YF-3000.1480-175.70
138368,LN-9500
138368,YX-0300.0190
139289,YL-3300.4500
139289,YV-3000.3050
139289,PX
139289,PH-2950
139289,PH-2950.8500
139289,PH-2950.3050
139791,YF-8000.0500
139791,TJ-6500.8000
139791,RX
139791,RX-8250
139791,RX-8250.0500
139791,PN-8100.0500
139791,RX-8450.8000
137691,FP-0500
137691,R
137691,TJ-3000
137691,YX
137691,FN-1900
137691,PX
137691,YX-0500.8000
137691,FT-3000.1750
137691,RP-1400.8000-100
137691,PN-8100
137691,PN-8100.0200-130
137691,RP-1400.8000-160
137691,PN-8100.1000-300
138760,LH-5000
138760,YF-3000.5200
138760,YF-3000.1700
138760,YF-3000.5240
138760,PX
138760,BT-4500.6500-500
138760,PL-6400.1500-850
138760,YF-6500
138760,YF-3000.0520
138760,L
138760,LF
138760,PL-6400.1500
138760,BT
138760,YB-9500.1500
138760,YB-9500.0500
138760,YD
138760,YF-3000.3280
138760,LT-1750.5000
138760,LH-5100
138760,PN-8100
138760,PN-8100.3000
138760,PN-8100.1400
138182,ND-3500.3600
138182,HH-0500.2500-250
138182,PS-9800
138182,ND-2000.6500-360
138182,ND-2000.1500-160
138182,HH-9000
138182,HL-2500
139211,LV-6800
139211,L
139211,LF
139211,YK-6500.6600
139211,PH-1000
139211,LH-2700
139211,LH-6300.5500
139211,LN-9500
138154,DF-4500
138154,DF-7000
138154,FJ-1500
138154,TP
139366,ND-9200
139366,RX-8450.7000
137793,LH-2600
137793,LF
137793,FT
137793,TJ-3000
137793,PH-0700
137793,DT-8700.2000-180
137793,PN-8100.0500-070
137793,PN-8100.0500-180
138979,RP-1500
138979,PX
138979,R
138979,RF-2500
138979,RX
138979,RX-0400.1500
138979,RX-8450.8000
138979,RX-8470.8200
138979,RX-8450.5000
138719,HD-1800.3000
138719,YB-9500.3300
138719,YB-9500.1500
138719,YL-3300.4500
138719,YK-2000.2200
138719,YK-2000.2100
138719,PS-6500
138719,PH-6100.6800
138719,PX
138719,LR-1700
138719,YF-1500.8000
138719,YF-1800.5000
138719,YF-6500
138719,YF-1800
138719,H
138719,HD-1800
138394,YK-6500.8500
138394,YK-6500.6600-550
138394,PX
138394,LJ-5000.5000
138394,LJ-5000
138394,YZ-1470
138394,YX-0500
138394,YB-9500.1500
138394,YK-6500.8500-900
138394,PH-6200.4600
138394,PH-6100.6800
138394,BH-8600
138394,PH-0320
138646,FN-1900
138646,YX
138646,FP-4500
138646,FT-1500
139762,TI-1800.1500
139762,TI-1800.6500-150
139762,RF-2000
139762,RF-2500
139762,RF-3300
139762,YX-1500.8500
139131,YB-9500.0500
139131,LT-3400
139131,L
139131,LF
139131,LH-2700
139131,R
139131,TJ-3000
139131,PL-7000
139131,RF-3300
139131,RF-2500
139131,JP
139131,YF-3000.7740
139131,LJ-2000
139131,LV-6800
139131,ND-2000.1500-160
139131,YF-3000.1480-150
139131,RP-1400.8000-050
139131,YX-0300.0190
139131,LN-9500
139562,FP-0500
139562,YF-1800
139562,PH-1000
139562,YF-1800.5000
139562,TD-1600.3100-180
138179,YL-3300.4500
138179,FT-4500
138179,FT-3000
138179,FT-1000.9500
138179,PX
138179,D
138179,YB-9500.0500
138179,YB-9500.1500
138179,YJ-9000
138179,FP-4500
138179,YX
138179,FT-2700.9500
138179,FT-6900.2500
138179,DT-8800
138493,YB-9500.0500
138493,FP-0500
138493,R
138493,TJ-3000
138493,LH-2700
138493,LH-2600
138493,YF-3000.7740
138493,YX-0500.8000
138493,RP-1500
138493,PX
138493,TD-1600.3100-140
138493,YX-0500
138493,RP-1400.8000-800
138493,RP-1400.8000-050
138493,RP-1400.8000-800
137651,YV-3000.3050
137651,YL-3300.4500
137651,PX
137651,NL
137651,YV-3000.3000
138404,LL-3000
138404,LR-6200
138404,LR-6600
138404,YF-3000.3520
138404,YF-9000
138404,LH-2600.6500
138404,LV-8300.9000
138404,LT-3400
138404,LH-6600
138404,ND-9200
138404,LE
138404,LF-4900.1500-500
138404,YF-3000.1480
138404,LT-1750.1500
137696,YK-2000.2200
137696,YK-2000.2100
137696,NL-3000.1500
