current_parent_categories,name,id,location_name,new_category,new_subcategory,clear_categories
Age Group,Community Engagement,144741,Baltimore Harm Reduction Coalition,,,clear 
Age Group,Stop Abuse of Elders,145020,"Counseling, Helpline, & Aid Network for Abused",,,clear
Age Group,Medical Examinations,144924,Baltimore Child Abuse Center,Safety,Children,
Age Group,"Retired and Senior Volunteer Program, Baltimore City",142675,"Retired and Senior Volunteer Program, Baltimore City",,,clear
"Age Group, Family Friendly",Leaping for Literacy,144635,Baltimore Healthy Start Inc,Child-Related,Head Start,
"Age Group, Health Specialties",Adult Home Care Services,144628,"American Caregivers, Inc.",Health,Older Adults,
"Age Group, Survivors","Kennedy Krieger Family Center, SMART Program",143514,"Kennedy Krieger Family Center, Birth To Five Clinic",Health,Children,
Care,"Baltimore City Police Department, Eastern District",141214,"Baltimore City Police Department, Eastern District",,,clear
Care,Baltimore County Dept. of Recreation and Parks,139937,Baltimore County Dept. of Recreation and Parks,,,clear
Care,"Office of Child Care, Anne Arundel County",141787,"Office of Child Care, Anne Arundel County",,,clear
Care,"Office of Child Care, Baltimore City",141788,"Baltimore Housing, OHEP/Weatherization",,,clear
Care,Family/Marital Counseling,144142,Glenwood Life Counseling Center,,,clear
Care,Peer Recovery Services,144146,Glenwood Life Counseling Center,,,clear
Care,Group Treatment,144143,Glenwood Life Counseling Center,,,clear
Care,Individual Counseling,144144,Glenwood Life Counseling Center,,,clear
Care,Case Management,144868,Youth Empowered Society,Health,Access to Care (Insurance/ Prescription Assistance),
Care,Family Reunification Services (Servicios de de Reunificación Familiar),145206,Esperanza Center (Se habla Español),Safety,Children,
Care,"Baltimore City DSS, Recruitment Foster Care & Adoption Families",141311,"Baltimore City DSS, Family Preservation Services",,,clear
Care,Individual and Group Counseling,144148,Belair Health Solutions,,,clear
Care,Individual Counseling,144158,"Bon Secours, New Hope Treatment Center",,,clear
Care,Standard & Intensive Group Counseling,144159,"Bon Secours, New Hope Treatment Center",,,clear
Care,Gender-specific Group Counseling,144160,"Bon Secours, New Hope Treatment Center",,,clear
Care,Individual Counseling,144170,"Bon Secours, Adapt Cares",,,clear
Care,Standard Group Counseling,144171,"Bon Secours, Adapt Cares",,,clear
Care,Gender-Specific group counseling,144172,"Bon Secours, Adapt Cares",,,clear
Care,Family Education & Counseling,144178,"Bon Secours, Adapt Cares",,,clear
Care,DUI/DWI Program,144184,"B.N.J. Health Services, LLC",,,clear
Care,Referral Assistance,144570,Alpha Pregnancy Center,,,clear
Care,Humane Society of Baltimore County,142829,Humane Society of Baltimore County,,,clear
Care,Aftercare,142299,"Mountain Manor Treatment Center, Highlandtown",,,clear
Care,Support Groups,144276,"Native American Lifelines, Inc.",,,clear
Care,Behavioral Health/Substance Abuse Counseling,144266,"Native American Lifelines, Inc.",,,clear
Care,Post-Adoption Search and Reunion Services,144573,Board of Child Care,,,clear
Care,Mental Health Groups,144291,New Vision House of Hope,,,clear
Care,Individual Outpatient Counseling,144297,Northern Parkway Treatment Services,,,clear
Care,Peer Support,144306,"Organization of Hope, Inc.",,,clear
Care,Mental Health & Counseling,144319,Port Recovery,,,clear
Care,Group Support Activities,144336,"Health Care for the Homeless, Inc., Baltimore City",,,clear
Care,Family Counseling,144350,House of Change Behavioral Health,,,clear
Care,Referral Services,144503,40 West Assistance and Referral Center,,,clear
Care,Sister Circle,144633,Baltimore Healthy Start Inc,,,clear
"Care, Age Group, Health Specialties",Montgomery County Senior Mental Health Services,142006,Senior Nutrition Program,,,clear
"Care, Age Group, Health Specialties",Care Consultation,144585,Alzheimer's Association: Greater Maryland Chapter,Social Support,Older Adults,
"Care, Age Group, Health Specialties",24/7 Hotline,144623,"American Cancer Society, Baltimore",,,clear
"Care, Education, Age Group, Health Specialties",Caregiver Education,144584,Alzheimer's Association: Greater Maryland Chapter,Social Support,Older Adults,
"Care, Education, Race/Ethnicity",Mentoring and Tutoring Program,144731,Centro SOL,Education,ESL Classes,
"Care, Education, Work, Education, Employment, Gender & Sexuality",Career Skills Training,142209,Caroline Center,Employment,Job Training,
"Care, Survivors",Services for Victims of Human Trafficking (Servicios para víctimas de tráfico humano),145207,Esperanza Center (Se habla Español),Safety,Adults,
Citizenship,Food Delivery (Entrega de Comida),145062,Asylee Women Enterprise (GENERAL-- Se Habla Español),Legal,Immigration,
Citizenship,Case Management (Manejo de Casos),145064,Asylee Women Enterprise (GENERAL-- Se Habla Español),,,CLEAR
Citizenship,Medical Care (Atención Médica),145065,Asylee Women Enterprise (GENERAL-- Se Habla Español),Health,Access to Care (Insurance/ Prescription Assistance),
Citizenship,Immigration Legal Services (Servicios Legales de Inmigración),145063,Asylee Women Enterprise (GENERAL-- Se Habla Español),Legal,Immigration,
Citizenship,Mental Health Care (Atención de Salud Mental),144686,Asylee Women Enterprise (GENERAL-- Se Habla Español),Mental Health,Counseling Services ,
Citizenship,Housing (Vivienda),144684,Asylee Women Enterprise (GENERAL-- Se Habla Español),Housing,Transitional Housing,
Citizenship,Community Day Program (Programa Diario Comunitario),144685,Asylee Women Enterprise (GENERAL-- Se Habla Español),Employment,Job Training,
Documents Needed,Health Insurance,145028,Maryland Health Connection,,,clear
Education,GED Training,144351,House of Change Behavioral Health,,,
Education,Abbott Tutoring Center,144755,Abbott Memorial Presbyterian Church,,,
Education,Resources for Students (Recursos para estudiantes),144946,Centro SOL (Se Habla Español),,,
Education,Baltimore City Financial Literacy Program,144676,Southern Community Action Partnership Center,,,
Education,Children and Youth Programs,144327,Paul's Place,,,
Education,Computer Lab,144357,House of Change Behavioral Health,,,
Education,Adult Basic Education Program,140764,"Baltimore City Community College, Adult Basic Education",,,
"Education, Age Group",Skills training,144705,"Arundel House of Hope, Community Recovery Center",,,Clear 
"Education, Age Group",GED Classes,144638,Baltimore Healthy Start Inc,Education,GED,
"Education, Age Group, Disability, Family Friendly","Head Start Program, Day Spring",143521,Dayspring Village,Child-Related,Head Start,
"Education, Disability, Family Friendly","Head Start Program, Herring Run",143809,"Head Start Program, Herring Run",Child-Related,Head Start,
"Education, Race/Ethnicity",Research Services,144739,Centro SOL,,,clear
"Education, Work, Age Group",Baltimore City Community College,143003,Baltimore City Community College,,,clear
Emergency,National Sexual Assault Hotline (Línea nacional de agresión sexual),144945,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Safety,Adults,
Emergency,National Domestic Violence Hotline (Línea nacional de violencia doméstica),144953,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Safety,Adults,
Emergency,Internet access,144886,ELECTRIC & GAS ENERGY ASSISTANCE,Utilities,Utility Assistance,
Emergency,Low Income Water Assistance Program,144913,WATER DISCOUNT INFORMATION,Utilities,Utility Assistance,
"Emergency, Age Group",SNAP/ Food stamps legal help hotline (Comida),145127,Homeless Persons Representation Project (ALOJAMIENTO-- Se Habla Español),Legal,Rights,
"Emergency, Age Group",Virtual Chatline,145086,House of Ruth,,,clear
"Emergency, Age Group, Gender & Sexuality, Family Friendly, Housing",Shelter,145324,Sarah's Hope House,Housing,Transitional Housing,
"Emergency, Care, Age Group",Support Services,144990,Caregiver Service Corps,,,clear
"Emergency, Education, Education",Family Education,144880,Center for Urban Families,Education,Job Training,
"Emergency, Education, Work",Free Xfinity WiFi hotspot (WiFi GRATIS),144850,Free Xfinity Wifi (for non-subscribers) (Se Habla Español),Utilities,Utility Assistance,
"Emergency, Education, Work",Free Internet Service (Servicio de Internet GRATIS),144915,Free Xfinity Wifi (for non-subscribers) (Se Habla Español),Utilities,Utility Assistance,
"Emergency, Education, Work",Internet for University Students (Internet para Estudiantes de Universidad),144916,Free Xfinity Wifi (for non-subscribers) (Se Habla Español),Utilities,Utility Assistance,
"Emergency, Food",Home Delivered Grocery Boxes (Entrega a Domicilio de Cajas de Alimentos),144944,Home Delivered Grocery Boxes (Entrega a Domicilio de Cajas de Alimentos),Food,Food Delivery,
"Emergency, Food",Lunch Service (Servicio de almuerzo),144864,Beans and Bread Homeless Day Resource Center (Centro de recursos para personas sin hogar Beans and Bread),Food,Prepared Meals,
"Emergency, Food",Food Pantry,144839,New Shiloh Baptist Church Pantry,Food,Food Pantry ,
"Emergency, Food",Hot Meal Program (Progama de Comidas Calientes),144860,Our Daily Bread Employment Center (se habla español),Food,Prepared Meals,
"Emergency, Food",Food Map,144928,The Maryland Food Bank,,,clear
"Emergency, Food",Food Stamp (SNAP) Support,144939,The Maryland Food Bank,Food,SNAP/Food Stamps,
"Emergency, Food",Meal Delivery,144927,Maryland Access Point,Food,Food Delivery,
"Emergency, Food",Grocery Delivery (Entrega de Comestibles),144940,Meals on Wheels (Se Habla Español),Food,Food Delivery,
"Emergency, Food",Resource Map (Mapa de Recursos),145141,"The Rebuild, Overcome and Rise Center (SEGURIDAD)",,,clear
"Emergency, Food",Free grocery distribution/ Food pantry,145325,Parts of Peace,Food,Food Pantry ,
"Emergency, Food",Food and Clothing (Ropa y Comida),144998,Sacred Heart of Jesus (Se habla Español),Food,Food Pantry ,
"Emergency, Food, Age Group",The Emergency Food Assistance Program (Programa de Ayuda Alimentaria de Emergencia),145006,Maryland Emergency Food Assistance Program (Programa de Asistencia Alimentaria de Emergencia de Maryland),Food,Food Pantry ,
"Emergency, Food, Goods, Care, Age Group",Food and resource delivery,144931,COVID-19 FOOD -- Corona Community,,,clear
"Emergency, Food, Health",Benefit Counseling (Asesoramientos de Beneficios),144861,Our Daily Bread Employment Center (se habla español),Food,SNAP/Food Stamps,
"Emergency, Food, Health, Education, Languages",Information (Información),144856,Centro SOL (Se Habla Español),,,clear
"Emergency, Food, Health, Money, Work, Legal",CASA General Hotline,144947,CASA,,,clear
"Emergency, Food, Housing, Transit, Care, Housing, Income",Ancillary Services,144921,Powell Recovery Center,,,clear
"Emergency, Food, Housing, Transit, Health, Money, Work",Health Insurance and Care Coordination to Social Services,144859,HealthCare Access Maryland,,,clear
"Emergency, Goods",Hand Sanitizer and Masks,144996,Highlandtown Business Association,Goods,Hygiene Items,
"Emergency, Goods, Work",Jobs (Trabajos),144834,CityWide Youth Development,Employment,Job Training,
"Emergency, Health",COVID-19 Testing,145332,University of Maryland Medical Center- Downtown Campus,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",Telehealth Services,145026,Healthcare for the Homeless,Health,Access to Care (Insurance/ Prescription Assistance),
"Emergency, Health",Free Mental Health Services,144905,The Boris Lawrence Henson Foundation,Mental Health,Counseling Services ,
"Emergency, Health",Telehealth Services,145307,"Health Care for the Homeless, Inc, West Baltimore",Health,Access to Care (Insurance/ Prescription Assistance),
"Emergency, Health",COVID- 19 Testing,145330,Baltimore Convention Center,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",COVID-19 Testing,145331,Mercy Health Services,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",COVID-19 Testing,145333,Johns Hopkins Medicine,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",Telehealth Services,145305,"Health Care for the Homeless, Inc., Baltimore City",,,clear
"Emergency, Health",Telehealth Services,145306,"Health Care for the Homeless, Inc., Baltimore County",,,clear
"Emergency, Health, Age Group, Health Specialties, Substance Use Treatment Preferences","Walter P. Carter, Fayette Street Clinic",140881,"University of Maryland, Center for Infants & Child Loss",Health,General Population,
"Emergency, Health, Care",Delivery Service,144898,SPARC Center,Substance Use,Harm Reduction Treatment,
"Emergency, Health, Care, Citizenship, Income, Insurance Accepted, Languages, Race/Ethnicity",Multilingual Coronavirus Hotline ( Línea Directa Multilingüe de Coronavirus),144896,Esperanza Center (Se habla Español),Health,General Population,
"Emergency, Health, Gender & Sexuality, Health Specialties",Mobile STI Testing,145312,SPARC Center,Health,Sexual/Family Planning,
"Emergency, Health, Gender & Sexuality, Survivors",Sexual Assault Legal Institute (Instituto Legal de Agresión Sexual),144847,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Legal,Reduced-Fee Services/ Legal Aid,
"Emergency, Health, Health Specialties, Special Hours, Substance Use Treatment Preferences","Crisis, Information and Referral Hotline",144922,"Baltimore Crisis Response, Inc.",Mental Health,Crisis,
"Emergency, Health, Health Specialties, Substance Use Treatment Preferences",Dual Diagnosis Treatment,144920,Powell Recovery Center,Substance Use,Treatment Centers,
"Emergency, Health, Legal, Gender & Sexuality, Survivors",Intimate Partner Violence Services,144848,COVID-19 SAFETY -- Mercy Medical Center,Safety,Adults,
"Emergency, Health, Money","Baltimore City DSS, Emergency Assistance to Families w/Children",143524,"Baltimore City DSS, Child Care Program",Safety,Children,
"Emergency, Housing",Karis Home,140319,Karis Home for Women and Children,Housing,Transitional Housing,
"Emergency, Housing",Phone Intake Assistance (Ayuda Telefónica),144930,Homeless Persons Representation Project (ALOJAMIENTO-- Se Habla Español),Legal,Eviction,
"Emergency, Housing",Eviction Support,145162,Franciscan Center,Legal,Eviction,
"Emergency, Housing, Age Group, Gender & Sexuality, Housing",Emergency Shelter,145328,Pinderhughes Shelter,Housing,Transitional Housing,
"Emergency, Housing, Age Group, Housing",Overnight Guest Services,145334,Helping Up Mission,Housing,Transitional Housing,
"Emergency, Housing, Health, Care, Health Specialties, Substance Use Treatment Preferences",Outpatient & Residential Services,144853,Powell Recovery Center,Substance Use,Treatment Centers,
"Emergency, Housing, Transit, Health, Money, Care, Education, Work, Legal, Citizenship, Income, Insurance Accepted, Languages, Race/Ethnicity",Client Services (Servicios al Cliente),144895,Esperanza Center (Se habla Español),Health,General Population,
"Emergency, Housing, Work, Legal, Citizenship, Housing, Languages, Race/Ethnicity",Legal Services (Servicios Legales de Inmigración),144892,Esperanza Center (Se habla Español),Legal,Immigration,
"Emergency, Languages",Adelante Familia,145205,House of Ruth,Safety,Adults,
"Emergency, Legal, Gender & Sexuality, Survivors",Legal services (Servicios legales),144849,"The Rebuild, Overcome and Rise Center (SEGURIDAD)",Legal,Reduced-Fee Services/ Legal Aid,
"Emergency, Money",The Self Sufficiency Grant,145235,Modest Needs,Money,Emergency Cash/Grants,
"Emergency, Money",The Homecoming Heroes Grant,145236,Modest Needs,Money,Emergency Cash/Grants,
