bom,name,taxonomy_id,parent_id,parent_name,type,filter,filter_parent,filter_priority
,Emergency,101,,,service,FALSE,FALSE,
,Disaster Response,101-01,101,Emergency,service,FALSE,FALSE,
,Emergency Cash,101-02,101,Emergency,service,FALSE,FALSE,
,Help Pay for Food,101-02-01,101-02,Emergency Cash,service,FALSE,FALSE,
,Help Pay for Healthcare,101-02-02,101-02,Emergency Cash,service,FALSE,FALSE,
,Help Pay for Housing,101-02-03,101-02,Emergency Cash,service,FALSE,FALSE,
,Help Pay for Gas,101-02-04,101-02,Emergency Cash,service,FALSE,FALSE,
,Help Pay for School,101-02-05,101-02,Emergency Cash,service,FALSE,FALSE,
,Help Pay for Utilities,101-02-06,101-02,Emergency Cash,service,FALSE,FALSE,
,Emergency Food,101-03,101,Emergency,service,FALSE,FALSE,
,Emergency Shelter,101-04,101,Emergency,service,FALSE,FALSE,
,Help Find Missing Persons,101-05,101,Emergency,service,FALSE,FALSE,
,Immediate Safety,101-06,101,Emergency,service,FALSE,FALSE,
,Help Escape Violence,101-06-01,101-06,Immediate Safety,service,FALSE,FALSE,
,Safe Housing,101-06-02,101-06,Immediate Safety,service,FALSE,FALSE,
,Psychiatric Emergency Services,101-07,101,Emergency,service,FALSE,FALSE,
,Food,102,,,service,FALSE,FALSE,
,Community Gardens,102-01,102,Food,service,FALSE,FALSE,
,Emergency Food,102-02,102,Food,service,FALSE,FALSE,
,Food Delivery,102-03,102,Food,service,FALSE,FALSE,
,Food Pantry,102-04,102,Food,service,FALSE,FALSE,
,Free Meals,102-05,102,Food,service,FALSE,FALSE,
,Help Pay for Food,102-06,102,Food,service,FALSE,FALSE,
,Food Benefits,102-06-01,102-06,Help Pay for Food,service,FALSE,FALSE,
,Nutrition,102-07,102,Food,service,FALSE,FALSE,
,Housing,103,,,service,FALSE,FALSE,
,Emergency Shelter,103-01,103,Housing,service,FALSE,FALSE,
,Help Find Housing,103-02,103,Housing,service,FALSE,FALSE,
,Help Pay for Housing,103-03,103,Housing,service,FALSE,FALSE,
,Help Pay for Utilities,103-03-01,103-03,Help Pay for Housing,service,FALSE,FALSE,
,Help Pay for Internet or Phone,103-03-02,103-03,Help Pay for Housing,service,FALSE,FALSE,
,Home & Renters Insurance,103-03-03,103-03,Help Pay for Housing,service,FALSE,FALSE,
,Housing Vouchers,103-03-04,103-03,Help Pay for Housing,service,FALSE,FALSE,
,Maintenance & Repairs,103-04,103,Housing,service,FALSE,FALSE,
,Housing Advice,103-05,103,Housing,service,FALSE,FALSE,
,Foreclosure Counseling,103-05-01,103-05,Housing Advice,service,FALSE,FALSE,
,Homebuyer Education,103-05-02,103-05,Housing Advice,service,FALSE,FALSE,
,Residential Housing,103-06,103,Housing,service,FALSE,FALSE,
,Long-Term Housing,103-06-01,103-06,Residential Housing,service,FALSE,FALSE,
,Assisted Living,103-06-01-01,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,Independent Living,103-06-01-02,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,Nursing Home,103-06-01-03,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,Public Housing,103-06-01-04,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,Safe Housing,103-07,103,Housing,service,FALSE,FALSE,
,Housing Legal Services,103-08,103,Housing,service,FALSE,FALSE,
,Short-Term Housing,103-09,103,Housing,service,FALSE,FALSE,
,Nursing Home,103-09-01,103-09,Short-Term Housing,service,FALSE,FALSE,
,Sober Living,103-09-02,103-09,Short-Term Housing,service,FALSE,FALSE,
,Goods,104,,,service,FALSE,FALSE,
,Baby Supplies,104-01,104,Goods,service,FALSE,FALSE,
,Baby Clothes,104-01-01,104-01,Baby Supplies,service,FALSE,FALSE,
,Diapers & Formula,104-01-02,104-01,Baby Supplies,service,FALSE,FALSE,
,Pumping Equipment,104-01-03,104-01,Baby Supplies,service,FALSE,FALSE,
,Clothing,104-02,104,Goods,service,FALSE,FALSE,
,Baby Clothes,104-02-01,104-02,Clothing,service,FALSE,FALSE,
,Clothes for School,104-02-02,104-02,Clothing,service,FALSE,FALSE,
,Clothes for Work,104-02-03,104-02,Clothing,service,FALSE,FALSE,
,Clothing Vouchers,104-02-04,104-02,Clothing,service,FALSE,FALSE,
,Home Goods,104-03,104,Goods,service,FALSE,FALSE,
,Blankets & Fans,104-03-01,104-03,Home Goods,service,FALSE,FALSE,
,Books,104-03-02,104-03,Home Goods,service,FALSE,FALSE,
,Furniture,104-03-03,104-03,Home Goods,service,FALSE,FALSE,
,Home Fuels,104-03-04,104-03,Home Goods,service,FALSE,FALSE,
,Efficient Appliances,104-03-05,104-03,Home Goods,service,FALSE,FALSE,
,Personal Care Items,104-03-06,104-03,Home Goods,service,FALSE,FALSE,
